FID,nom,idexterne,siret,datecreation,datemaj,gid,the_geom
adr_voie_lieu.adrenssup.6746,Institut National des Sciences Appliquées,,,2000-10-23,2017-02-16,6746,"MULTIPOLYGON (((4.872334491583157 45.77921912108928, 4.872612941564747 45.77925648113259, 4.873130390567964 45.7793322985182, 4.873384849741929 45.779371491586105, 4.8735891127530655 45.779405930280284, 4.873952284274557 45.77947249328575, 4.87416152249587 45.77951332924966, 4.874589337877023 45.77960492653583, 4.874727596019425 45.77963496019957, 4.874312608931214 45.78057098476571, 4.874237895652159 45.78073989046273, 4.874092270074787 45.78106836879698, 4.874123244403074 45.781075238988926, 4.875281675190424 45.781330216290094, 4.875897114170245 45.781159959019696, 4.875939262900051 45.781238916860374, 4.875208378010128 45.78144176748387, 4.875067075271558 45.78173804486021, 4.8751631953997565 45.78186507534742, 4.876191224256858 45.782082230805926, 4.876198996308247 45.78206473212975, 4.87664784246927 45.78216515564092, 4.877804004190966 45.78242428535541, 4.877811459142384 45.7824202922327, 4.877898671331558 45.782439283974206, 4.877908858829962 45.78244766616341, 4.878540149853326 45.782587193285366, 4.878553996627047 45.78258201458061, 4.878652043998687 45.782605687074714, 4.8786528008994745 45.78261287481691, 4.884662019290445 45.783942596744645, 4.8846619120220724 45.78394322854251, 4.88462751793491 45.78402930098807, 4.884590431748458 45.7840319851317, 4.884540387566757 45.784035693842206, 4.884451655572698 45.78407460426095, 4.884402032431612 45.78412879766922, 4.884401784422146 45.78412907178454, 4.884333682914779 45.78420364177684, 4.883748793548817 45.785494606973, 4.883748671060135 45.7854947890063, 4.8845448280722366 45.785943055582926, 4.884388885406455 45.7860754218154, 4.883815797331822 45.78576035709565, 4.883601151530669 45.785712697654205, 4.881534514907706 45.78525258242698, 4.8814312738071015 45.78549432699837, 4.881362620375841 45.785655577109594, 4.881085255286494 45.785598149276325, 4.8808688682126515 45.786009438670305, 4.881787372371402 45.786226014829126, 4.8813123264898035 45.787282492215915, 4.881222886384008 45.78727398012102, 4.880995453277642 45.78724776775262, 4.880801795248483 45.78722360693918, 4.880762510891448 45.78721840585811, 4.880615085592943 45.7871918607536, 4.880357449263404 45.787147425519905, 4.880230953734598 45.7871235042658, 4.880115101665105 45.7871023771663, 4.879564594415441 45.78697574446456, 4.879104573998334 45.7868733561842, 4.8788902893949455 45.78682496187618, 4.878806584686049 45.78681482317761, 4.878637099797991 45.7867749592192, 4.877328790361715 45.7864892751223, 4.877208672568045 45.78645219494855, 4.875454381074264 45.786067550605, 4.875446860245616 45.78606578446548, 4.875531331501014 45.78588474696641, 4.876052892502565 45.78473212544716, 4.874772737552921 45.78445170903703, 4.874252625962267 45.78560223040288, 4.874160120450716 45.78577781901354, 4.873750396152368 45.78568619160082, 4.873740311547312 45.78568851768052, 4.873653098715333 45.785669612713036, 4.873639311245425 45.785661289406285, 4.873281086916501 45.78558618310837, 4.872743812051862 45.78546956044114, 4.872001444996976 45.7853096871452, 4.871692063828944 45.78524088280877, 4.871548650862196 45.78520327980272, 4.8702570328657915 45.784952702198986, 4.870127405348371 45.78492333116527, 4.8702012440099285 45.78475849303303, 4.870258825692271 45.78463055307354, 4.870372275864697 45.784377311279805, 4.870876299519468 45.78448873128451, 4.8712516927718275 45.78362753429117, 4.872273647834076 45.78384338518315, 4.872505842893023 45.78330755903574, 4.871017146238336 45.7829751802138, 4.871090584927057 45.78281007795066, 4.8711210824007685 45.782741444505376, 4.871608016711028 45.781647555021635, 4.871687794335022 45.78146830761871, 4.871767166105877 45.781074050189474, 4.871744965175676 45.78062377138834, 4.871977088920521 45.78007075663341, 4.872334491583157 45.77921912108928)))"
adr_voie_lieu.adrenssup.1113,Ecole Nationale Supérieure de la Police,,,2004-12-01,2017-02-16,1113,"MULTIPOLYGON (((4.815061455553724 45.81365578877095, 4.815756917971543 45.81349593060713, 4.815945493274217 45.81370577606566, 4.815403135599936 45.81382845440893, 4.815568677277003 45.814085828166334, 4.8155776938103045 45.81408604442351, 4.81552482785986 45.81416599808277, 4.815534960188296 45.814184646753596, 4.815518371861873 45.8141890512514, 4.815540778102218 45.81424071460631, 4.815510171289667 45.81424939263132, 4.815560031474699 45.81433778870845, 4.815525595242808 45.81432375754252, 4.8154848752321335 45.81433016675882, 4.815301742024261 45.81434649621382, 4.81530226615588 45.81435467794636, 4.8151762807854155 45.814363166166736, 4.815130562748729 45.81435444475736, 4.815098285670158 45.81435531920826, 4.815057461876738 45.814378290099995, 4.814906269050482 45.81439131981637, 4.8146747239237 45.81442290992099, 4.814192385910081 45.81455506603863, 4.814179896913155 45.81456678511028, 4.813930957366654 45.81463339113459, 4.813814183245174 45.8146362410617, 4.8138004473611264 45.814629439760225, 4.8134769637738986 45.814675631787445, 4.813477601378413 45.81467940167239, 4.813077973351149 45.81473112509739, 4.81307276527159 45.81471347783549, 4.8129037076747885 45.81473128932924, 4.812886469698124 45.814731563738206, 4.812865062476391 45.814730284497124, 4.812856244562743 45.81472826484417, 4.81284778621826 45.81472542945879, 4.812840070439588 45.81472168224341, 4.812833106012311 45.814717293061015, 4.812827278861215 45.814712255768505, 4.812822463273078 45.81470666236809, 4.8128190510292335 45.81470068662518, 4.812816132853292 45.81469407301131, 4.812813216979685 45.81467566924392, 4.812804454716245 45.814675358718226, 4.812800142259769 45.8144519551482, 4.812872515944126 45.81409736954888, 4.812944590773498 45.81380083921509, 4.813031438051424 45.81335323210441, 4.813016913400235 45.81334986330612, 4.8130388659729455 45.81323350263597, 4.813043143473555 45.8131356035428, 4.813062228746277 45.8131367397064, 4.81307607992675 45.81307198852768, 4.813055836935954 45.81307087079845, 4.813063292694494 45.81292828064697, 4.813134062760504 45.81271034168923, 4.813189563150929 45.812355484389016, 4.813218964933961 45.812349346187766, 4.813766281665168 45.81224882931929, 4.813771786638197 45.812247931631724, 4.814158309004151 45.81217769404793, 4.814694276367528 45.81305998397619, 4.814848745953969 45.81330952506357, 4.815061455553724 45.81365578877095)))"
adr_voie_lieu.adrenssup.6763,Ecole des Arts Culinaires et de l'Hôtellerie,,,2000-10-16,2017-02-16,6763,"MULTIPOLYGON (((4.768789299805555 45.77515783417596, 4.768813856069354 45.775157542506534, 4.768842066037475 45.775158904045654, 4.7688586977715 45.77516017554019, 4.76887623793575 45.775161702912825, 4.768893929496507 45.77516394793098, 4.768922490805222 45.775168273995085, 4.768945532953032 45.77517295584212, 4.768958488088354 45.7751759044741, 4.769347596967083 45.7752705656988, 4.769896963501335 45.775401703449134, 4.769984650591311 45.77541293971506, 4.770073388936401 45.7754167795462, 4.770117108777877 45.77548935969717, 4.770112432759303 45.77554460255414, 4.769894862148818 45.77569594678115, 4.769545588574496 45.77594455869548, 4.76892433857323 45.77649061780349, 4.768091252929034 45.777138424703246, 4.7680715289781075 45.77715727115848, 4.767960160313938 45.77730372150794, 4.7678289779168885 45.77748242956042, 4.767797125744408 45.777524414389134, 4.767661164151165 45.77766602641288, 4.767641779736972 45.77768747751729, 4.767548346091101 45.777783068791905, 4.767494241100781 45.777837189147846, 4.767076231131489 45.77825120072005, 4.767072242947506 45.77825117264292, 4.767069006149283 45.77825050289848, 4.76706705779452 45.778249903149, 4.767065100881809 45.77824903353207, 4.767063895354933 45.77824752224796, 4.767063175537772 45.77824510342146, 4.76706982065184 45.77818290017509, 4.767075872960079 45.778089836096385, 4.767078770627404 45.77801086101373, 4.767078518621836 45.77796235486997, 4.767077023447046 45.777923318039434, 4.767074590905135 45.77789122577109, 4.767070204508444 45.77785430383382, 4.767066323602813 45.77782115405219, 4.767060645931875 45.77778407216339, 4.767050637997112 45.7777321174907, 4.76704258887175 45.77770137242892, 4.767033939755339 45.777671986683956, 4.767023570904695 45.77764109763771, 4.767009208608918 45.77760190058383, 4.766999887824861 45.777579725273455, 4.766985670844033 45.77754916597093, 4.76697008823956 45.77752015787113, 4.766954336962489 45.77749394239143, 4.766937577208981 45.777468372567675, 4.76689955824761 45.77741730276876, 4.766878321862371 45.77739252243869, 4.766864938273622 45.77738013020503, 4.76684766375228 45.77736671837489, 4.766829512158065 45.777354040159395, 4.7668150828128715 45.77734517415928, 4.7667881380203845 45.7773310124459, 4.76676869211485 45.77732213431872, 4.766743406964159 45.777311636834725, 4.766714230891535 45.77730011974561, 4.766665988705049 45.77728358861361, 4.766579971702179 45.77725207381164, 4.766512400686212 45.77723035264075, 4.766429077603832 45.77720266591638, 4.766390754408366 45.77718661071543, 4.766381207237587 45.777181628890254, 4.76637553387611 45.77717712694044, 4.766369020740241 45.777170478021986, 4.76636592421577 45.777166116077545, 4.766358240056336 45.77715498532885, 4.766324795938195 45.7770980843372, 4.766267241678755 45.7769744174546, 4.766071131787632 45.77660621050923, 4.765931930948793 45.776369690336935, 4.765777973491401 45.776130158965294, 4.7654907187904705 45.775661665142344, 4.765452280598349 45.77559728138058, 4.765442723305343 45.775579789626285, 4.765420732434612 45.77553927072939, 4.765428132736479 45.77552115591203, 4.766904868370868 45.775357837670626, 4.767452572108032 45.7752988426635, 4.7680349724534565 45.77523489595727, 4.7687166222412625 45.7751615737524, 4.768757433215786 45.77515877946042, 4.768789299805555 45.77515783417596)))"
adr_voie_lieu.adrenssup.1646,Institut de Science Financière et d'Assurances,,,2011-12-21,2017-02-16,1646,"MULTIPOLYGON (((4.825714799392745 45.726111244015414, 4.826764014617527 45.72612625252741, 4.826762399638892 45.72633589334981, 4.82570904804654 45.72632419125201, 4.825714799392745 45.726111244015414)))"
adr_voie_lieu.adrenssup.6834,Université Claude Bernard Lyon 1,,,2000-10-23,2017-02-16,6834,"MULTIPOLYGON (((4.867809821930384 45.78355410516685, 4.867433101861066 45.78455382576691, 4.867034346617722 45.78450483577784, 4.866681958602569 45.78446903438086, 4.86646519800013 45.784445948340995, 4.866126155833669 45.784412986472255, 4.865842944235939 45.78439539885485, 4.865790878605604 45.784392562245706, 4.865472210059214 45.78438023506552, 4.865055645093449 45.784364021014696, 4.864944415552235 45.784357653337615, 4.864872516247297 45.78337024318956, 4.865101072429491 45.78325012479753, 4.865099526614347 45.78325006012585, 4.865094886157773 45.78324977615741, 4.8650925177510045 45.78324819492134, 4.865089895221542 45.78324670785205, 4.865087664415477 45.78324539436877, 4.865085580243369 45.78324461849814, 4.865082320901622 45.78324332186901, 4.865079719450609 45.78324246447213, 4.865076995454956 45.783241789088414, 4.8650742714593695 45.78324111370463, 4.865071948220386 45.783240881766694, 4.865069107702402 45.78324056830251, 4.865066787474583 45.783240426317704, 4.865063955989978 45.7832403827131, 4.865061513217414 45.78324042274141, 4.865059202022923 45.78324055061616, 4.86505637957161 45.78324077687108, 4.865053186474799 45.78324145921235, 4.865050121944891 45.7832421394468, 4.865046931859006 45.78324291174111, 4.865042348613723 45.783244336882056, 4.8650378879130525 45.7832455800096, 4.865033442267491 45.783247272903175, 4.865029250744603 45.78324887162991, 4.865025065243565 45.78325065026298, 4.86502101433135 45.78325260669564, 4.865016966429889 45.78325465308139, 4.8650130561282285 45.78325696722003, 4.865009531527311 45.78325927503844, 4.865005878359073 45.78326158496344, 4.865002485335611 45.78326398062821, 4.864998099907602 45.78326747258515, 4.8649951046285915 45.7832702217426, 4.864992240927338 45.78327305874653, 4.8649895027818575 45.78327580369048, 4.86498690223614 45.783278816387416, 4.8649846904023555 45.78328191271752, 4.864982475557343 45.783284919094356, 4.864980395301134 45.78328810327096, 4.864978700745982 45.78329128112754, 4.86497713475774 45.78329445687746, 4.864976052928062 45.78329672466833, 4.864975228232526 45.78329898824588, 4.864974182534297 45.78330233547561, 4.864973265403078 45.78330568059867, 4.8649724798498495 45.78330911356833, 4.864972079997966 45.783312540217985, 4.864971680146032 45.7833159668677, 4.864958672876078 45.78311952437038, 4.864902044449081 45.78226164762881, 4.864902032405897 45.782261287815786, 4.864902151938237 45.78226101584947, 4.8649021398950545 45.78226065603648, 4.864902259427389 45.782260384070135, 4.864902247384206 45.782260024257134, 4.864902369927337 45.78225984224406, 4.864902357884152 45.78225948243104, 4.864902477416486 45.78225921046473, 4.86490259393802 45.78225884854515, 4.864902716481147 45.78225866653208, 4.864902836013475 45.78225839456574, 4.864902955545803 45.78225812259942, 4.864903072067333 45.78225776067983, 4.864903194610456 45.78225757866676, 4.864903314142778 45.782257306700444, 4.864903436685897 45.78225712468735, 4.864903681772135 45.78225676066123, 4.8649039298691665 45.78225648658832, 4.864904049401484 45.78225621462197, 4.8649041659230035 45.782255852702406, 4.86490222485946 45.782201702951646, 4.8648331610214095 45.78218672410155, 4.86478559247188 45.78217598315849, 4.863157053786322 45.78180610277751, 4.8639027328793185 45.78010994540083, 4.864180331977449 45.78017191068924, 4.864362971797783 45.780213740269375, 4.864694820587858 45.780297766296265, 4.864833265350372 45.78034886946687, 4.864761310419936 45.780089850927425, 4.864748180729435 45.779939671705115, 4.864744982287884 45.77989022267884, 4.864719563025997 45.779549619294556, 4.86471916512272 45.779522355024454, 4.8647190889771865 45.77951623609486, 4.86472612939567 45.779488309935516, 4.864736603521346 45.779466897705724, 4.864758864971648 45.779440252195485, 4.864782793418138 45.779421139585715, 4.864812346183753 45.77940481489777, 4.864847612688909 45.779390106628085, 4.864875568213754 45.779383708382205, 4.86492214959904 45.779376554908275, 4.865458663212421 45.77932672095404, 4.865461865114594 45.779326308460924, 4.86541606192482 45.77923759660502, 4.866141358632582 45.779171164556224, 4.867018555082012 45.779092965792444, 4.867541240443695 45.77905666919249, 4.867872454800811 45.77904124336608, 4.868350804687331 45.77902538126628, 4.86865991517049 45.77901823624857, 4.868956437213685 45.77901543724225, 4.869655901737295 45.779015018891414, 4.870054527178734 45.779026740113224, 4.870570544375347 45.779048590912495, 4.870838459176757 45.77906722783802, 4.871447250420217 45.77911302036629, 4.87195475135602 45.77916848599369, 4.872334491583157 45.77921912108928, 4.872612941564747 45.77925648113259, 4.873130390567964 45.7793322985182, 4.873384849741929 45.779371491586105, 4.8735891127530655 45.779405930280284, 4.873952284274557 45.77947249328575, 4.87416152249587 45.77951332924966, 4.874589337877023 45.77960492653583, 4.874727596019425 45.77963496019957, 4.874312608931214 45.78057098476571, 4.874237895652159 45.78073989046273, 4.874092270074787 45.78106836879698, 4.874123244403074 45.781075238988926, 4.875281675190424 45.781330216290094, 4.875897114170245 45.781159959019696, 4.875939262900051 45.781238916860374, 4.875208378010128 45.78144176748387, 4.875067075271558 45.78173804486021, 4.8751631953997565 45.78186507534742, 4.876191224256858 45.782082230805926, 4.876198996308247 45.78206473212975, 4.87664784246927 45.78216515564092, 4.877804004190966 45.78242428535541, 4.877811459142384 45.7824202922327, 4.877898671331558 45.782439283974206, 4.877908858829962 45.78244766616341, 4.878540149853326 45.782587193285366, 4.878553996627047 45.78258201458061, 4.878652043998687 45.782605687074714, 4.8786528008994745 45.78261287481691, 4.884662019290445 45.783942596744645, 4.8846619120220724 45.78394322854251, 4.88462751793491 45.78402930098807, 4.884590431748458 45.7840319851317, 4.884540387566757 45.784035693842206, 4.884451655572698 45.78407460426095, 4.884402032431612 45.78412879766922, 4.884401784422146 45.78412907178454, 4.884333682914779 45.78420364177684, 4.883748793548817 45.785494606973, 4.883748671060135 45.7854947890063, 4.8845448280722366 45.785943055582926, 4.88541273397084 45.786431709757935, 4.885415883663283 45.78643354765019, 4.885317759052947 45.78658655816822, 4.8849533636638 45.78715484241856, 4.8842062131497554 45.787266126185365, 4.883786955082136 45.78730429664569, 4.883477062211786 45.78732769549774, 4.883205256615026 45.787343713140885, 4.882839345175979 45.78735021644708, 4.8822952649663875 45.787356964941175, 4.882243519743494 45.78735611056552, 4.882139641478244 45.787350538027745, 4.881817311673971 45.78732949651405, 4.8813123264898035 45.787282492215915, 4.881222886384008 45.78727398012102, 4.880995453277642 45.78724776775262, 4.880801795248483 45.78722360693918, 4.880762510891448 45.78721840585811, 4.880615085592943 45.7871918607536, 4.880357449263404 45.787147425519905, 4.880230953734598 45.7871235042658, 4.880115101665105 45.7871023771663, 4.879564594415441 45.78697574446456, 4.879104573998334 45.7868733561842, 4.8788902893949455 45.78682496187618, 4.878806584686049 45.78681482317761, 4.878637099797991 45.7867749592192, 4.877328790361715 45.7864892751223, 4.877208672568045 45.78645219494855, 4.875454381074264 45.786067550605, 4.875446860245616 45.78606578446548, 4.875531331501014 45.78588474696641, 4.876052892502565 45.78473212544716, 4.874772737552921 45.78445170903703, 4.874252625962267 45.78560223040288, 4.874160120450716 45.78577781901354, 4.873750396152368 45.78568619160082, 4.873740311547312 45.78568851768052, 4.873653098715333 45.785669612713036, 4.873639311245425 45.785661289406285, 4.873281086916501 45.78558618310837, 4.872743812051862 45.78546956044114, 4.872001444996976 45.7853096871452, 4.871692063828944 45.78524088280877, 4.871548650862196 45.78520327980272, 4.8702570328657915 45.784952702198986, 4.870127405348371 45.78492333116527, 4.8702012440099285 45.78475849303303, 4.870258825692271 45.78463055307354, 4.870372275864697 45.784377311279805, 4.870485859614621 45.78412424715925, 4.8689956719078555 45.78379753644375, 4.867809821930384 45.78355410516685)))"
adr_voie_lieu.adrenssup.4927,École de Santé des Armées,,,2001-01-25,2017-02-16,4927,"MULTIPOLYGON (((4.9271402069100105 45.72747880485236, 4.92891183051783 45.73009742471983, 4.926554392266686 45.735654229309056, 4.925673390828627 45.73544044951037, 4.924291410237172 45.73512668593922, 4.923351696606499 45.73489822113352, 4.92296094139312 45.734796733995495, 4.924115723383176 45.731901192895535, 4.923493009061265 45.73122220280317, 4.923405358734821 45.73126319747895, 4.921677259637374 45.7293902583896, 4.921459087133435 45.72946621907274, 4.921368590341456 45.729499159895475, 4.921384031206632 45.729432565602025, 4.922246306823013 45.729139877491455, 4.9271402069100105 45.72747880485236)))"
adr_voie_lieu.adrenssup.4158,Université Catholique de Lyon,,,2000-10-23,2017-02-16,4158,"MULTIPOLYGON (((4.8290787547073375 45.75647471291744, 4.829130585412241 45.756537870919885, 4.829142155554242 45.75653390481097, 4.829178613207783 45.75658308966813, 4.829251934892328 45.75668208282865, 4.829269694845456 45.75670609776914, 4.829185855809389 45.75673327637332, 4.82912186606084 45.756754105648376, 4.829064493708653 45.75677284845275, 4.829102175464171 45.75683974402556, 4.828893772999681 45.75689907570405, 4.828913253393333 45.75693242323583, 4.828771425202552 45.756979164152064, 4.8287579297407754 45.756955800600075, 4.828589981517878 45.757009801304385, 4.828524522546033 45.75692706169663, 4.828528719037869 45.75692564421862, 4.828565997030666 45.75691361480724, 4.8285401386855575 45.756881809762746, 4.828520970101916 45.75688931800879, 4.828467046913703 45.75682115326336, 4.828450290476365 45.75682772270991, 4.82842612938799 45.75679670037895, 4.828422443982178 45.75679801963724, 4.828380994411029 45.75674558470693, 4.828400895609934 45.75670161395212, 4.8290787547073375 45.75647471291744)))"
adr_voie_lieu.adrenssup.3367,Ecole de Chimie Physique Electronique de Lyon,,,2000-10-19,2017-02-16,3367,"MULTIPOLYGON (((4.867809821930384 45.78355410516685, 4.8689956719078555 45.78379753644375, 4.870485859614621 45.78412424715925, 4.870372275864697 45.784377311279805, 4.870258825692271 45.78463055307354, 4.8702012440099285 45.78475849303303, 4.870127405348371 45.78492333116527, 4.868982427686286 45.784741071931265, 4.868606042111261 45.78469559019629, 4.867654116229589 45.78458098029901, 4.867433101861066 45.78455382576691, 4.867809821930384 45.78355410516685)))"
adr_voie_lieu.adrenssup.6731,Université Louis Lumière Lyon 2,,19691775100204,2000-10-13,2017-03-22,6731,"MULTIPOLYGON (((4.8374314864152295 45.749664562830795, 4.837467014841489 45.74971277009771, 4.837500760503539 45.749699084660186, 4.8379267549111225 45.750309797316454, 4.838060198097039 45.75050078580157, 4.838511159775479 45.751147003854555, 4.838432819345264 45.75117680068969, 4.8384336348057815 45.75117813754315, 4.838216552735114 45.7512618376947, 4.838215877637102 45.75126085858021, 4.8380360018884545 45.75133054680148, 4.83803654552395 45.751331438038996, 4.837814253289674 45.75141702163219, 4.837812923862041 45.751415693078265, 4.837690301427787 45.751463305219225, 4.837691914530218 45.7514654392112, 4.837545933470542 45.75152206875839, 4.837541781124689 45.75151700571174, 4.837158024828677 45.75166540756781, 4.837161660205424 45.751670388975135, 4.837016036879301 45.7517262020271, 4.836936047970757 45.7516240812918, 4.8369426526526675 45.7516216345808, 4.836703541607526 45.75131777831654, 4.836697062481934 45.75132013298473, 4.836616701111434 45.751218378062056, 4.83662101657161 45.75121668834729, 4.836319513579539 45.75083346677368, 4.836314938190231 45.750835070671364, 4.836234578216149 45.75073331547386, 4.836241173934761 45.750730598940464, 4.836001939078381 45.75042665329457, 4.8359954659515925 45.75042918783162, 4.835915232675336 45.7503273403762, 4.835917136359556 45.75032658963406, 4.835905179192142 45.75031094224661, 4.835876616580489 45.750275132380914, 4.836202689216178 45.75014764636849, 4.836336962368722 45.750094717592695, 4.836546882756702 45.75001221664463, 4.836672898153957 45.749962300854975, 4.836892219189789 45.749876407386, 4.837158622744402 45.74977193263869, 4.837381985797274 45.74968390286742, 4.8374314864152295 45.749664562830795)))"
adr_voie_lieu.adrenssup.311,Institut National de la Recherche Pédagogique,,,2004-11-26,2017-02-16,311,"MULTIPOLYGON (((4.832114256163715 45.7323294319213, 4.832118522435842 45.73258838945913, 4.831984786733079 45.732590004062004, 4.831984484767021 45.732557338137035, 4.831931075581936 45.73255900858838, 4.831930228954676 45.732662344723224, 4.831930276233773 45.73266378399633, 4.831869751872317 45.73266403900493, 4.831796636294423 45.73266440680836, 4.831799132953766 45.73207917246409, 4.831799082723848 45.73207764323626, 4.831799224997119 45.73203110981975, 4.831931716232231 45.73203077549252, 4.831930145685252 45.73217858437087, 4.8319851579674085 45.73217877813308, 4.831984995998571 45.73207212815975, 4.832038484503179 45.73207288645645, 4.832039325550555 45.732051542389286, 4.832111985626687 45.73205298179941, 4.83211058943315 45.73207307478132, 4.832118711352383 45.732073843945194, 4.832118859708115 45.73232872773536, 4.832114256163715 45.7323294319213)))"
adr_voie_lieu.adrenssup.1055,Université Claude Bernard Lyon 1,,,2000-10-27,2017-02-16,1055,"MULTIPOLYGON (((4.808714509621029 45.70516135395949, 4.807059492219637 45.70445938490553, 4.807017181882915 45.704418206780126, 4.806919396577636 45.70437755058677, 4.806982721298008 45.704310032533584, 4.806968456979768 45.70428604884172, 4.80754767151853 45.703612535640644, 4.807545302294511 45.703610773284545, 4.808742852781771 45.70380475574757, 4.809522523538789 45.70381556570473, 4.809503341328502 45.70471732937544, 4.809433133435739 45.70471907712061, 4.809445322280519 45.705003828829526, 4.809451743496828 45.70515429964249, 4.809453018426985 45.705181729899365, 4.8094556707522225 45.70519221788665, 4.809444477276133 45.705227316791465, 4.809399586071619 45.70541955530805, 4.809387756572615 45.70543504393548, 4.809380519999539 45.70544163926767, 4.809325560175201 45.70546600465133, 4.809184177556099 45.70539616376526, 4.809166944267019 45.70538761790002, 4.808780784065709 45.70519278992686, 4.808714509621029 45.70516135395949)))"
adr_voie_lieu.adrenssup.6740,Université Jean Moulin Lyon 3,,,2000-10-13,2017-02-16,6740,"MULTIPOLYGON (((4.837861921554984 45.7516774377603, 4.838016421479218 45.75189868685057, 4.838013128042815 45.75190018009998, 4.838048995465727 45.75195081178654, 4.83805115616833 45.751950056856316, 4.838074623683025 45.75198333847212, 4.838072722937162 45.751984179204484, 4.838108715998322 45.75203471884127, 4.838111641747675 45.752033771543516, 4.838155338806486 45.75209570695726, 4.838183198090079 45.75213350769597, 4.8382683132602455 45.752254535215165, 4.8381644517943965 45.7522941044758, 4.83816243239776 45.75229134704018, 4.837994104108876 45.752356528433644, 4.837995854642881 45.75235893020764, 4.837935551190689 45.75238213507947, 4.837933672161717 45.75237973538068, 4.83773690102849 45.75245572617814, 4.837738797843735 45.75245866560565, 4.8376280916633725 45.7525012250101, 4.8376219198599175 45.752493404521786, 4.837619887627557 45.75249415736806, 4.837569294524268 45.75242972309065, 4.837571066795947 45.75242888444249, 4.837564763546472 45.75242097607249, 4.837571493827034 45.75241843729521, 4.837465214605288 45.75228326079408, 4.837462420293402 45.752284295953864, 4.837440281448997 45.75225621287949, 4.837432914628883 45.75225894193534, 4.837373733518041 45.7521835760312, 4.8373812258627185 45.75218075494944, 4.837358307228114 45.75215241444905, 4.837361355563247 45.7521512851866, 4.837254682978415 45.75201584484882, 4.837248212688628 45.75201846941103, 4.837241778070792 45.7520104731439, 4.8372402627994875 45.75201130763632, 4.837189810926684 45.75194723092877, 4.837191445799507 45.75194612449895, 4.837185271154296 45.75193821403226, 4.8372962276170615 45.751895470996985, 4.837298115496148 45.7518981405692, 4.837495399241926 45.75182214222386, 4.837493654676199 45.75181992035055, 4.837554089164786 45.751796803590196, 4.83755596222771 45.751799023386894, 4.8377529882806884 45.75172302874551, 4.837750840429763 45.75172027337838, 4.837861921554984 45.7516774377603)))"
adr_voie_lieu.adrenssup.1530,Ecole Nat Sup Sc de l'Information et Bibliothèques,,,2000-10-16,2017-02-16,1530,"MULTIPOLYGON (((4.863158018410208 45.780492409785815, 4.862812708765008 45.780413549760766, 4.862728476763352 45.78045650957103, 4.862732824528402 45.780444198066235, 4.862411837704954 45.78060425549206, 4.862123044801247 45.78046137676001, 4.861243480808911 45.779618490366765, 4.862495980758933 45.7795042175228, 4.862560368909591 45.77952566443168, 4.8626165773334655 45.77986036404108, 4.8626207656208225 45.779874065885494, 4.862625489196522 45.779888388987075, 4.862630454858386 45.77990225811378, 4.862636897823381 45.77991799311609, 4.86264371143521 45.77993327203928, 4.862648966558942 45.77994425634635, 4.862654072075957 45.77995461308388, 4.862660517316943 45.77996656794075, 4.862665709298817 45.77997566322701, 4.862671702710449 45.77998564542205, 4.862677555536314 45.779995269907495, 4.862685011221338 45.78000666821044, 4.862692051159438 45.78001717329182, 4.862701743485615 45.78003006503095, 4.862710634386753 45.78004206986053, 4.8627188223501046 45.78005228614332, 4.86272886728894 45.78006418208116, 4.8627367740819025 45.78007368294423, 4.862745712363003 45.78008325692698, 4.862755452078126 45.78009371781742, 4.862764776045132 45.78010328548622, 4.862776342670476 45.78011452649657, 4.8627839141701354 45.780121692778145, 4.862798243713907 45.78013477861831, 4.862809235966782 45.78014422897553, 4.862818356208571 45.780151549910904, 4.8628186223504 45.780151815562455, 4.863436437194558 45.78029038596694, 4.863402387819792 45.78038382609751, 4.863395131277617 45.7803822348576, 4.863356131715801 45.780466125744596, 4.863326725026602 45.780529158973195, 4.863216674519737 45.78050395989646, 4.863193991806517 45.7805526626055, 4.8631354551877 45.78054084051873, 4.863158018410208 45.780492409785815)))"
