code_commune,nb_ventes,prix_median,prix_moyen,surface_moyenne,pieces_moyennes
69001,22,16550.0,171465.0,74.0,1.0
69002,19,95000.0,64835.0,179.0,1.0
69003,133,317800.0,312733.0,112.0,1.0
69004,23,230000.0,265212.0,76.0,1.0
69005,46,280000.0,435371.0,212.0,1.0
69006,177,117000.0,220885.0,76.0,1.0
69007,153,151500.0,362932.0,83.0,0.0
69008,48,133900.0,180000.0,78.0,1.0
69009,190,290700.0,300446.0,82.0,2.0
69010,301,235000.0,239333.0,74.0,1.0
69012,68,13209.0,130846.0,76.0,1.0
69013,180,321994.0,424975.0,197.0,1.0
69014,60,105000.0,112164.0,84.0,1.0
69016,25,310730.0,238167.0,70.0,1.0
69017,40,295000.0,205478.0,63.0,1.0
69018,153,105000.0,129973.0,72.0,1.0
69019,521,180000.0,267461.0,152.0,1.0
69020,10,220825.0,189201.0,71.0,1.0
69021,85,264500.0,313018.0,81.0,1.0
69022,9,150000.0,164901.0,73.0,1.0
69023,139,148268.0,196291.0,77.0,1.0
69024,250,297250.0,351052.0,99.0,1.0
69026,32,285350.0,358422.0,86.0,1.0
69027,447,313500.0,363277.0,94.0,1.0
69028,237,404900.0,493049.0,83.0,1.0
69029,1814,217550.0,1275392.0,87.0,1.0
69030,32,200000.0,195301.0,94.0,1.0
69031,38,91000.0,153873.0,76.0,1.0
69032,88,294150.0,288573.0,147.0,1.0
69033,123,438710.0,405720.0,75.0,1.0
69034,1716,290000.0,384937.0,87.0,1.0
69035,72,14000.0,91399.0,72.0,0.0
69036,35,174000.0,149928.0,67.0,1.0
69037,66,69500.0,113387.0,70.0,1.0
69038,69,28300.0,87380.0,73.0,0.0
69039,29,187900.0,133324.0,70.0,1.0
69040,317,275000.0,531684.0,71.0,1.0
69042,24,65000.0,135758.0,70.0,0.0
69043,328,368826.0,604169.0,110.0,1.0
69044,252,427885.0,620666.0,82.0,1.0
69045,60,78141.0,75419.0,68.0,0.0
69046,156,442400.0,544382.0,83.0,2.0
69047,70,495395.0,562571.0,78.0,1.0
69049,114,260000.0,289726.0,84.0,1.0
69050,143,278000.0,284795.0,78.0,1.0
69051,82,210000.0,177785.0,73.0,0.0
69052,185,412500.0,464901.0,86.0,2.0
69053,78,278540.0,345390.0,71.0,1.0
69054,41,55000.0,106962.0,77.0,1.0
69055,65,180000.0,218185.0,92.0,1.0
69056,60,210000.0,230777.0,86.0,2.0
69057,34,45960.0,543985.0,85.0,1.0
69058,111,68000.0,112552.0,71.0,0.0
69059,71,339000.0,338247.0,99.0,1.0
69060,57,28000.0,68667.0,75.0,1.0
69061,47,280000.0,231525.0,76.0,1.0
69062,25,7000.0,61528.0,70.0,0.0
69063,287,470000.0,866270.0,76.0,1.0
69064,117,170000.0,207462.0,71.0,1.0
69065,74,70000.0,137559.0,78.0,1.0
69066,295,50000.0,83175.0,84.0,1.0
69067,49,45960.0,428760.0,73.0,1.0
69068,86,270000.0,298825.0,70.0,2.0
69069,484,317900.0,412214.0,79.0,1.0
69070,79,75000.0,109710.0,75.0,1.0
69071,39,180000.0,249757.0,79.0,1.0
69072,458,489686.0,1678633.0,88.0,1.0
69074,117,165000.0,239024.0,77.0,1.0
69075,23,26300.0,178717.0,88.0,1.0
69076,83,498000.0,510292.0,93.0,2.0
69077,43,267750.0,223823.0,81.0,1.0
69078,72,79635.0,162183.0,77.0,1.0
69080,53,160000.0,177358.0,78.0,2.0
69081,653,469450.0,706298.0,135.0,1.0
69082,41,215200.0,237410.0,79.0,1.0
69083,21,345000.0,424056.0,96.0,3.0
69084,163,152400.0,228828.0,74.0,0.0
69085,39,365000.0,437074.0,79.0,2.0
69086,119,282455.0,296838.0,76.0,1.0
69087,100,390000.0,447369.0,87.0,2.0
69088,371,269280.0,320815.0,78.0,1.0
69089,642,299500.0,426303.0,76.0,2.0
69090,71,325000.0,297629.0,75.0,1.0
69091,676,174515.0,852600.0,82.0,1.0
69092,493,260000.0,1203271.0,79.0,1.0
69093,77,119100.0,133505.0,78.0,1.0
69094,192,368470.0,417705.0,78.0,2.0
69095,21,260000.0,158756.0,77.0,1.0
69096,385,199500.0,286305.0,120.0,1.0
69097,25,233000.0,175152.0,75.0,1.0
69098,5,132000.0,201560.0,132.0,3.0
69099,96,25021.0,98260.0,78.0,1.0
69100,276,272250.0,335888.0,83.0,1.0
69102,44,260000.0,243708.0,75.0,1.0
69103,122,267500.0,305453.0,74.0,1.0
69104,54,34000.0,69315.0,72.0,0.0
69105,48,125044.0,182123.0,77.0,1.0
69106,40,348710.0,320221.0,94.0,2.0
69107,65,115000.0,137548.0,98.0,1.0
69108,136,51271.0,174243.0,82.0,1.0
69109,71,250000.0,213154.0,77.0,1.0
69110,152,25000.0,95614.0,71.0,0.0
69111,32,268780.0,356670.0,90.0,1.0
69112,233,420000.0,496293.0,88.0,1.0
69113,96,85000.0,148177.0,83.0,1.0
69115,172,332570.0,781543.0,78.0,1.0
69116,387,990000.0,4351663.0,128.0,1.0
69117,170,237650.0,294511.0,140.0,1.0
69118,126,40000.0,100064.0,71.0,1.0
69119,84,85000.0,87262.0,76.0,1.0
69120,29,207000.0,142914.0,73.0,1.0
69121,133,291550.0,371728.0,92.0,1.0
69122,149,306220.0,379987.0,85.0,1.0
69124,100,13000.0,51085.0,70.0,0.0
69125,77,562500.0,785195.0,84.0,1.0
69126,54,177500.0,208326.0,74.0,0.0
69127,140,264000.0,326768.0,70.0,1.0
69130,40,33044.0,53438.0,68.0,1.0
69131,76,362800.0,347626.0,76.0,1.0
69132,41,84000.0,91843.0,71.0,0.0
69133,120,277000.0,330527.0,85.0,1.0
69134,13,75000.0,304360.0,70.0,0.0
69135,309,65000.0,114996.0,73.0,0.0
69136,88,350000.0,357132.0,129.0,2.0
69137,69,12150.0,151159.0,78.0,1.0
69138,30,67741.0,64102.0,68.0,0.0
69139,52,147500.0,162447.0,80.0,2.0
69140,89,333000.0,302489.0,81.0,1.0
69141,198,285000.0,322820.0,121.0,1.0
69142,218,206800.0,928515.0,76.0,1.0
69143,332,280000.0,305623.0,73.0,1.0
69145,59,135000.0,206271.0,75.0,1.0
69148,138,260000.0,289274.0,80.0,1.0
69149,1061,242000.0,825366.0,97.0,1.0
69151,124,116500.0,125988.0,77.0,1.0
69152,346,176050.0,239961.0,68.0,1.0
69153,45,425000.0,501306.0,93.0,2.0
69154,188,202000.0,283109.0,72.0,1.0
69155,35,60000.0,164292.0,75.0,1.0
