code_commune,nb_ventes,prix_median,prix_moyen,surface_moyenne,pieces_moyennes
69001,31,200000.0,214459.0,85.0,1.0
69002,62,67226.0,96867.0,74.0,1.0
69003,109,384750.0,484517.0,80.0,1.0
69004,46,389850.0,359887.0,82.0,2.0
69005,80,3624.0,202348.0,75.0,1.0
69006,295,169000.0,211920.0,148.0,1.0
69007,227,357000.0,546789.0,82.0,1.0
69008,68,248000.0,220424.0,70.0,1.0
69009,495,335650.0,1811738.0,131.0,1.0
69010,385,252900.0,350166.0,78.0,1.0
69012,82,65900.0,74329.0,66.0,1.0
69013,265,278122.0,291300.0,116.0,2.0
69014,92,58000.0,162933.0,78.0,1.0
69016,23,60000.0,95991.0,71.0,1.0
69017,61,375000.0,447658.0,80.0,1.0
69018,142,130000.0,188310.0,77.0,1.0
69019,704,196150.0,321159.0,95.0,1.0
69020,34,202500.0,365784.0,79.0,1.0
69021,117,185000.0,193662.0,81.0,1.0
69022,64,17044.0,117634.0,75.0,1.0
69023,98,150000.0,175817.0,76.0,1.0
69024,227,266500.0,276681.0,85.0,1.0
69026,52,225000.0,230948.0,70.0,0.0
69027,718,314821.0,469480.0,96.0,1.0
69028,281,435000.0,671078.0,96.0,1.0
69029,2145,209000.0,400769.0,71.0,1.0
69030,58,180000.0,203272.0,78.0,1.0
69031,84,180000.0,181366.0,75.0,1.0
69032,118,310000.0,285282.0,82.0,1.0
69033,145,420000.0,472874.0,86.0,1.0
69034,2300,305000.0,406919.0,75.0,1.0
69035,114,17803.0,85570.0,76.0,0.0
69036,66,299000.0,255684.0,103.0,1.0
69037,109,100000.0,130914.0,74.0,1.0
69038,83,165000.0,190275.0,84.0,1.0
69039,57,150220.0,184439.0,75.0,1.0
69040,528,508000.0,1579436.0,62.0,1.0
69042,39,70000.0,150305.0,74.0,1.0
69043,519,366900.0,463039.0,80.0,1.0
69044,367,690000.0,1120483.0,90.0,2.0
69045,109,46500.0,342712.0,76.0,1.0
69046,298,459500.0,498984.0,100.0,2.0
69047,67,230000.0,436209.0,86.0,1.0
69049,161,328500.0,416680.0,84.0,2.0
69050,127,220392.0,287916.0,85.0,1.0
69051,60,375750.0,358630.0,81.0,2.0
69052,199,387000.0,470527.0,81.0,2.0
69053,109,230000.0,242165.0,73.0,1.0
69054,14,125000.0,109214.0,61.0,1.0
69055,55,657300.0,678876.0,77.0,1.0
69056,170,217000.0,220007.0,75.0,1.0
69057,29,345000.0,339048.0,84.0,2.0
69058,73,109900.0,131838.0,77.0,1.0
69059,84,376000.0,396135.0,90.0,2.0
69060,91,40000.0,92310.0,72.0,0.0
69061,45,210000.0,320393.0,86.0,1.0
69062,33,135000.0,180358.0,70.0,1.0
69063,399,507000.0,1177416.0,82.0,1.0
69064,188,222150.0,254560.0,82.0,2.0
69065,90,77500.0,144346.0,72.0,1.0
69066,438,118000.0,116207.0,82.0,1.0
69067,61,150000.0,166037.0,84.0,1.0
69068,186,357500.0,421338.0,78.0,1.0
