insee,commune,lat,lon
69384.0,Lyon 4e Arrondissement,45.77949592309458,4.8373525398799995
69273.0,Corbas,45.68286878187065,4.909324275377001
69384.0,Lyon 4e Arrondissement,45.77996376971251,4.834530774781
69384.0,Lyon 4e Arrondissement,45.77712100850085,4.836884357859
69384.0,Lyon 4e Arrondissement,45.77719801867383,4.833544046147
69259.0,Vénissieux,45.6916041292948,4.886291782366
69259.0,Vénissieux,45.692549070037686,4.887484063799
69034.0,Caluire-et-Cuire,45.79980200509529,4.84761697536
69040.0,Champagne-au-Mont-d'Or,45.790323922630364,4.787960683822
69383.0,Lyon 3e Arrondissement,45.74293478342756,4.878539690791
69149.0,Oullins-Pierre-Bénite,45.705215352192454,4.816354044796
69259.0,Vénissieux,45.70924808248204,4.887283956868998
69259.0,Vénissieux,45.709249370610046,4.887365859502001
69382.0,Lyon 2e Arrondissement,45.75397594577938,4.8345852432430005
69100.0,Irigny,45.67844993120407,4.825549329165
69259.0,Vénissieux,45.72337800220061,4.865175997030999
69089.0,Francheville,45.73704384155718,4.764481040525
69089.0,Francheville,45.73671973418622,4.764068269569
69100.0,Irigny,45.678439800016086,4.825600234174001
69286.0,Rillieux-la-Pape,45.82676704757615,4.906327997727
69271.0,Chassieu,45.737766440992104,4.968813297575001
69384.0,Lyon 4e Arrondissement,45.77974548436656,4.840695769412001
69034.0,Caluire-et-Cuire,45.797718323843526,4.850895703823
69143.0,Neuville-sur-Saône,45.87592669806313,4.838588172486
69034.0,Caluire-et-Cuire,45.79727786501458,4.843617697060999
69387.0,Lyon 7e Arrondissement,45.73196801063372,4.834041002366001
69033.0,Cailloux-sur-Fontaines,45.85337200684892,4.878126002373
69033.0,Cailloux-sur-Fontaines,45.853338081337945,4.878006048147999
69266.0,Villeurbanne,45.75428965144135,4.885107914161999
69383.0,Lyon 3e Arrondissement,45.75308751002347,4.869017839753
69275.0,Décines-Charpieu,45.75088206219371,4.941125978468001
69143.0,Neuville-sur-Saône,45.86859902480705,4.839665042378
69259.0,Vénissieux,45.701295482170835,4.863758528804
69382.0,Lyon 2e Arrondissement,45.75373633720341,4.832002705498
69382.0,Lyon 2e Arrondissement,45.75892279375685,4.833948284832001
69382.0,Lyon 2e Arrondissement,45.7583728578769,4.833177475822
69202.0,Sainte-Foy-lès-Lyon,45.736197298185274,4.794688966704
69034.0,Caluire-et-Cuire,45.805115482923675,4.869021038367
69081.0,Écully,45.771175318367504,4.771145377382001
69244.0,Tassin-la-Demi-Lune,45.76290702028641,4.773467209851999
69081.0,Écully,45.77938904763259,4.760877981636
69382.0,Lyon 2e Arrondissement,45.76400008157328,4.838479033692
69256.0,Vaulx-en-Velin,45.7630119450324,4.930319245442999
69383.0,Lyon 3e Arrondissement,45.761650832931544,4.857683477357999
69383.0,Lyon 3e Arrondissement,45.75636599880113,4.876246028287001
69389.0,Lyon 9e Arrondissement,45.764166039698274,4.786606956589001
69275.0,Décines-Charpieu,45.77120753376051,4.970748281534
69384.0,Lyon 4e Arrondissement,45.77436348000915,4.821207513727
69149.0,Oullins-Pierre-Bénite,45.700084248821966,4.827773154241
69256.0,Vaulx-en-Velin,45.787513729725696,4.910386664738001
69259.0,Vénissieux,45.71993110393396,4.868019436420999
69259.0,Vénissieux,45.72000104946595,4.868095001685
69081.0,Écully,45.77298999930431,4.774503065761
69282.0,Meyzieu,45.78614533081884,4.9935174184180005
69149.0,Oullins-Pierre-Bénite,45.721540042666796,4.793012993328001
69149.0,Oullins-Pierre-Bénite,45.71577504068939,4.80923597898
69266.0,Villeurbanne,45.752561078314535,4.899837037186999
69266.0,Villeurbanne,45.758819065462866,4.921202003727
69266.0,Villeurbanne,45.76195608547552,4.919970995824001
69046.0,Charly,45.649395695245815,4.793269363924001
69149.0,Oullins-Pierre-Bénite,45.70504305872546,4.819077010749
69149.0,Oullins-Pierre-Bénite,45.70506176476145,4.818984200500999
69290.0,Saint-Priest,45.71058808134491,4.977055048715999
69034.0,Caluire-et-Cuire,45.798033057410485,4.864745068140999
69286.0,Rillieux-la-Pape,45.81413404046963,4.901173997246
69286.0,Rillieux-la-Pape,45.816812513701315,4.904935996595
69286.0,Rillieux-la-Pape,45.816698015010324,4.905191975306001
69033.0,Cailloux-sur-Fontaines,45.850177416726325,4.876972667863
69033.0,Cailloux-sur-Fontaines,45.85017278440532,4.876779237125999
69277.0,Genas,45.72350708305057,4.977269166978
69277.0,Genas,45.723423057116605,4.977768034026
69271.0,Chassieu,45.72528002057841,4.971159368433
69271.0,Chassieu,45.7253486375464,4.971304029134999
69383.0,Lyon 3e Arrondissement,45.753285005523445,4.86886195759
69381.0,Lyon 1er Arrondissement,45.770903668759544,4.833128892316999
69384.0,Lyon 4e Arrondissement,45.778742770377676,4.84085593677
69384.0,Lyon 4e Arrondissement,45.77878404910866,4.841224960513999
69383.0,Lyon 3e Arrondissement,45.75915107489982,4.858428972075
69383.0,Lyon 3e Arrondissement,45.74297535513555,4.879132941786
69383.0,Lyon 3e Arrondissement,45.75957201790778,4.8583590223640005
69266.0,Villeurbanne,45.778139398943736,4.878932034355
69383.0,Lyon 3e Arrondissement,45.75384307489339,4.867705048037999
69383.0,Lyon 3e Arrondissement,45.760136028856714,4.862040055391001
69282.0,Meyzieu,45.76775039429588,5.031597250536
69299.0,Colombier-Saugnieu,45.721124023477834,5.075430006794999
69089.0,Francheville,45.73507204400639,4.776466038433001
69266.0,Villeurbanne,45.778700004448666,4.862450964721
69271.0,Chassieu,45.73035901845488,4.971345038969
69271.0,Chassieu,45.72488251674345,4.962387949722
