nom,nature,adresse,code_postal,commune,the_geom
Collège Jeanne d'Arc,COLLEGE,1 rue Jules Ferry ,69150,Décines-Charpieu,POINT (4.961731731893434 45.764255214201626)
Collège Jeanne d'Arc,COLLEGE,4 rue Antoine Roybet CS 90003 ,69747,Genas,POINT (5.014779397610063 45.737365739383364)
Collège Saint-Charles,COLLEGE,26 avenue Victor Hugo ,69140,Rillieux-la-Pape,POINT (4.893605523790594 45.81920479203156)
Collège Clément Marot,COLLEGE,53 rue Deleuvre ,69004,Lyon 4e Arrondissement,POINT (4.825242028069482 45.78111637802782)
Collège Bellecombe,COLLEGE,10 rue de la Gaîté ,69006,Lyon 6e Arrondissement,POINT (4.862698486058412 45.767221036454785)
Collège Jean Jaurès,COLLEGE,54 rue Jean Jaurès ,69100,Villeurbanne,POINT (4.883449409156435 45.757598802511225)
Collège Aimé Césaire,COLLEGE,2 rue des Frères Bertrand ,69120,Vaulx-en-Velin,POINT (4.915881019301365 45.78502996668722)
Section d'enseignement général et professionnel adapté du Collège Aimé Cesaire,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,2 rue DES FRERES BERTRAND 69120 VAULX EN VELIN,69120,Vaulx-en-Velin,POINT (4.915881019301365 45.78502996668722)
Collège les Servizières,COLLEGE,141 rue de la République ,69330,Meyzieu,POINT (5.015458953582749 45.76376720765009)
Collège Victor Grignard,COLLEGE,177 avenue Paul Santy ,69008,Lyon 8e Arrondissement,POINT (4.882625384599654 45.724836303688726)
Collège Jean Charcot,COLLEGE,13 rue du Commandant Charcot ,69005,Lyon 5e Arrondissement,POINT (4.805426787641749 45.7535244316568)
Section d'enseignement général et professionnel adapté du Collège Victor Schoelcher,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,273 rue VICTOR SCHOELCHER 69009 LYON,69009,Lyon 9e Arrondissement,POINT (4.795596483244692 45.78884825807842)
Collège la Clavelière,COLLEGE,58 rue Jacquard ,69600,Oullins-Pierre-Bénite,POINT (4.816378481441571 45.710364162833045)
Collège les Pierres Dorées,COLLEGE,546 rue Jacques Cortay Le Bois d'Oingt ,69620,Val-d'Oingt,POINT (4.585248788465688 45.92214445671119)
Collège Louis Jouvet,COLLEGE,23 rue Docteur Dolard ,69100,Villeurbanne,POINT (4.87253436472823 45.76108176835967)
Collège Gisèle Halimi,COLLEGE,8  allée Eugénie Niboyet ,69007,Lyon 7e Arrondissement,POINT (4.835920755829996 45.74165590083777)
Collège André Lassagne,COLLEGE,5-7 rue André Lassagne ,69300,Caluire-et-Cuire,POINT (4.851248467175776 45.80668887367001)
Section d'enseignement général et professionnel adapté du Collège André Lassagne,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,5 rue ANDRE LASSAGNE 69300 CALUIRE ET CUIRE,69300,Caluire-et-Cuire,POINT (4.85178646603722 45.80656295358937)
Collège Paul Éluard,COLLEGE,3 rue Georges Lyvet ,69694,Vénissieux,POINT (4.868958976382972 45.69977280396516)
Collège Jean de Tournes,COLLEGE,20 bis quai Jean-Baptiste Simon ,69270,Fontaines-sur-Saône,POINT (4.851774582371779 45.830363362689795)
Section d'enseignement général et professionnel adapté du Collège Jean Renoir,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,4 avenue de l'Europe 69250 NEUVILLE SUR SAONE,69250,Neuville-sur-Saône,POINT (4.846531511463311 45.86959978862085)
Section d'enseignement général et professionnel adapté du Collège Jean-Philippe Rameau,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,Rue JEAN-PHILIPPE RAMEAU 69410 CHAMPAGNE AU MONT D OR,69410,Champagne-au-Mont-d'Or,POINT (4.788188554322999 45.79275611790647)
Collège Jacques Duclos,COLLEGE,91 rue de la Poudrette ,69120,Vaulx-en-Velin,POINT (4.92134564127743 45.75577238579692)
Collège les Battières,COLLEGE,56 avenue Eisenhower ,69005,Lyon 5e Arrondissement,POINT (4.781154529679848 45.75107762801011)
Collège Louis Aragon,COLLEGE,Route de Corbas ,69200,Vénissieux,POINT (4.888641357416082 45.69237903872641)
Collège Daisy Georges Martin,COLLEGE,24 rue du 11 Novembre 1918 ,69540,Irigny,POINT (4.816855369967494 45.67270895546214)
Collège Simone Lagrange,COLLEGE,15 rue des Jardins ,69100,Villeurbanne,POINT (4.903774500573558 45.77926108783986)
Collège La Xavière,COLLEGE,39 rue  Clémenceau ,69800,Saint-Priest,POINT (4.978296340579365 45.70591290771092)
Collège des Gratte-Ciel - Môrice Leroux,COLLEGE,85 rue Francis de Pressensé ,69100,Villeurbanne,POINT (4.876924297291593 45.772004175829075)
Section d'enseignement général et professionnel adapté du Collège des Gratte-Ciel Môrice Leroux,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,85 rue FRANCIS DE PRESSENSE BP 71345 69609 VILLEURBANNE CEDEX,69609,Villeurbanne,POINT (4.876924297291593 45.772004175829075)
Collège Georges Brassens,COLLEGE,50 rue Sully ,69150,Décines-Charpieu,POINT (4.975196301146556 45.768583357308685)
Section d'enseignement général et professionnel adapté du Collège Georges Brassens,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,50 rue SULLY 69150 DECINES CHARPIEU,69150,Décines-Charpieu,POINT (4.975196301146556 45.768583357308685)
Collège Paul-Émile Victor,COLLEGE,3 bis avenue du Général Leclerc ,69140,Rillieux-la-Pape,POINT (4.905981369520654 45.81684375840409)
Collège Gérard Philipe,COLLEGE,6 avenue Salvador Allende ,69800,Saint-Priest,POINT (4.9344029487297645 45.7040582976507)
Section d'enseignement général et professionnel adapté du Collège Paul-Emile Victor,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,3 bis avenue GENERAL LECLERC 69141 RILLIEUX LA PAPE CEDEX,69141,Rillieux-la-Pape,POINT (4.905981369520654 45.81684375840409)
Collège privé la Chrysalide,COLLEGE,4 rue Cronstadt 69007 LYON,69007,Lyon 7e Arrondissement,POINT (4.827745511132719 45.7524308338166)
Ecole secondaire privée Dé-Couverte,COLLEGE,5 avenue Edouard Millaud 69290 CRAPONNE,69290,Craponne,POINT (4.744975139751303 45.74729011806075)
Collège Jean-Jacques Rousseau,COLLEGE,29 rue François Mermet BP  65 ,69812,Tassin-la-Demi-Lune,POINT (4.769165826496545 45.75883414252643)
Collège La Platière,COLLEGE,182 allée du collège ,69240,Thizy-les-Bourgs,POINT (4.310899967645703 46.02948362748548)
Collège Élie Vignal,COLLEGE SPECIALISE,18 rue de Margnolles ,69300,Caluire-et-Cuire,POINT (4.83536240798309 45.784119189374536)
Section d'enseignement général et professionnel adapté du Collège Gérard Philipe,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,6 avenue Salvador Allende 69800 ST PRIEST,69800,Saint-Priest,POINT (4.9344029487297645 45.7040582976507)
Collège Jean Monnet,COLLEGE,18 rue Seguin ,69002,Lyon 2e Arrondissement,POINT (4.822549525924388 45.74578468622834)
Collège Évariste Galois,COLLEGE,10 avenue du Carreau ,69330,Meyzieu,POINT (4.994395300002458 45.770055040908574)
Collège Henri Barbusse,COLLEGE,10 avenue Henri Barbusse BP  2 ,69511,Vaulx-en-Velin,POINT (4.917235287048298 45.78584196476795)
Collège Lamartine,COLLEGE,26 à 36 rue Louis Teillon ,69100,Villeurbanne,POINT (4.916918126529449 45.75062425677)
Collège Vendôme,COLLEGE,69 rue Vendôme ,69006,Lyon 6e Arrondissement,POINT (4.844770596031649 45.770544817477095)
Collège Georges Clemenceau,COLLEGE,40 rue Capitaine Robert Cluzan ,69007,Lyon 7e Arrondissement,POINT (4.841024950011324 45.75018277861452)
Collège Henri Longchambon,COLLEGE,24 rue Stéphane Coignet ,69008,Lyon 8e Arrondissement,POINT (4.874144766940048 45.72596123676008)
Section d'enseignement général et professionnel adapté du Collège Henri Longchambon,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,24 rue STEPHANE COIGNET 69008 LYON,69008,Lyon 8e Arrondissement,POINT (4.874144766940048 45.72596123676008)
Collège Alain,COLLEGE,1 rue de Valence ,69190,Saint-Fons,POINT (4.855460398189425 45.696744263909004)
Collège Elsa Triolet,COLLEGE,3 avenue division Leclerc ,69200,Vénissieux,POINT (4.866355379613103 45.69747044474296)
Section d'enseignement général et professionnel adapté du Collège Elsa Triolet,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,3 avenue DIVISION LECLERC 69694 VENISSIEUX CEDEX,69694,Vénissieux,POINT (4.866355379613103 45.69747044474296)
Collège Pierre de Ronsard,COLLEGE,9 route St-Sorlin ,69440,Mornant,POINT (4.668887134464426 45.61949074808311)
Section d'enseignement général et professionnel adapté du Collège Evariste Galois,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,Avenue DU CARREAU BP 74 69882 MEYZIEU CEDEX,69882,Meyzieu,POINT (4.989566826549862 45.77587570662707)
Collège Charles Sénard,COLLEGE,10 rue Montessuy ,69300,Caluire-et-Cuire,POINT (4.843673395149213 45.79062212175324)
Section d'enseignement général et professionnel adapté du Collège Pierre Brossolette,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,19 boulevard GENERAL DE GAULLE 69600 OULLINS PIERRE BENITE,69600,Oullins-Pierre-Bénite,POINT (4.790044348266654 45.71649429285691)
Collège Molière,COLLEGE,33 avenue du Château ,69003,Lyon 3e Arrondissement,POINT (4.885861441470983 45.749319381684785)
Section d'enseignement général et professionnel adapté du Collège Georges Clémenceau,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,40 rue CAPITAINE ROBERT CLUZAN 69007 LYON,69007,Lyon 7e Arrondissement,POINT (4.841024950011324 45.75018277861452)
Section d'enseignement général et professionnel adapté du Collège Alain,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,1 rue DE VALENCE 69190 ST FONS,69190,Saint-Fons,POINT (4.855460398189425 45.696744263909004)
