nom,nature,adresse,code_postal,commune,the_geom
Collège Aux Lazaristes - La Salle,COLLEGE,3 place Saint-Jean ,69005,Lyon 5e Arrondissement,POINT (4.8263706273566465 45.76066325546817)
Collège Sainte-Marie,COLLEGE,4 montée de Saint-Barthélemy ,69005,Lyon 5e Arrondissement,POINT (4.8266696521466566 45.76558270226975)
Collège Lestonnac,COLLEGE,2 boulevard des Tchécoslovaques ,69007,Lyon 7e Arrondissement,POINT (4.859176410749825 45.74883832927284)
Collège Assomption Bellevue,COLLEGE,39 quai Jean Jacques Rousseau ,69350,La Mulatière,POINT (4.812793124530459 45.73332460098048)
Collège Saint-Thomas d'Aquin,COLLEGE,56 rue du Perron ,69600,Oullins-Pierre-Bénite,POINT (4.809567410466668 45.71061425265925)
Collège Saint-Thomas d'Aquin,COLLEGE,56 rue du Perron ,69600,Oullins-Pierre-Bénite,POINT (4.809567410466668 45.71061425265925)
Collège Champagnat,COLLEGE,250 rue Chanoine Pavailler ,69590,Saint-Symphorien-sur-Coise,POINT (4.452242578557498 45.62909091824532)
Collège les Chartreux - Croix Rousse,COLLEGE,58 rue Pierre Dupont ,69001,Lyon 1er Arrondissement,POINT (4.822450416572123 45.77180923070537)
Collège Saint-Louis - Saint-Bruno,COLLEGE,1 cours Général Giraud ,69001,Lyon 1er Arrondissement,POINT (4.816899820725747 45.77104847348305)
Collège Saint-Marc,COLLEGE,11 rue Soeur Bouvier ,69005,Lyon 5e Arrondissement,POINT (4.811952578702568 45.7526136243321)
Collège Chevreul,COLLEGE,21 rue Sala ,69002,Lyon 2e Arrondissement,POINT (4.828979376265525 45.756045274818966)
Collège Charles de Foucauld,COLLEGE,9 rue de l'Est ,69003,Lyon 3e Arrondissement,POINT (4.878259063792171 45.752392592837225)
Collège les Chartreux - Saint-Charles,COLLEGE,22 rue André Bonin ,69004,Lyon 4e Arrondissement,POINT (4.812338098206295 45.77602360222556)
Collège Notre-Dame des Minimes,COLLEGE,65 rue des Aqueducs ,69005,Lyon 5e Arrondissement,POINT (4.789340438644234 45.759516586849564)
Collège du Centre scolaire La Favorite-Sainte-Thérèse,COLLEGE,20 avenue du Point du Jour ,69005,Lyon 5e Arrondissement,POINT (4.8059432426854585 45.75645342316099)
Collège Déborde,COLLEGE,72 rue Ney ,69006,Lyon 6e Arrondissement,POINT (4.85566649806389 45.76665507511264)
Collège Pierre Termier - Site Montplaisir,COLLEGE,23 rue des Alouettes ,69008,Lyon 8e Arrondissement,POINT (4.87301812515899 45.74148801337144)
Collège Notre-Dame de Bellegarde,COLLEGE,22 avenue Gambetta ,69250,Neuville-sur-Saône,POINT (4.841877076437331 45.87049721363621)
Collège les Chassagnes,COLLEGE,13 chemin des Chassagnes ,69600,Oullins-Pierre-Bénite,POINT (4.809773718120045 45.72273466788777)
Collège Saint-Joseph,COLLEGE,7 rue Lieutenant Audras ,69160,Tassin-la-Demi-Lune,POINT (4.757983594801419 45.760208734973375)
Collège Notre-Dame de Mongré,COLLEGE,276 avenue Saint-Exupéry ,69652,Villefranche-sur-Saône,POINT (4.711890398645356 45.99101409091182)
Collège Immaculée Conception,COLLEGE,74 place Grandclément BP 41023 ,69613,Villeurbanne,POINT (4.889951528427869 45.759213160577325)
Collège la Perrière,COLLEGE,Chemin de la Maillarde ,69510,Soucieu-en-Jarrest,POINT (4.695297531563371 45.67613562395933)
Section d'enseignement général et professionnel adapté du Collège Jean Moulin,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,229 rue du Collège 69400 VILLEFRANCHE SUR SAONE,69400,Villefranche-sur-Saône,POINT (4.714890389447981 45.98378288646118)
Collège Hector Berlioz,COLLEGE,54 route de Ternay ,69360,Communay,POINT (4.822664639596856 45.60457014299716)
Collège du cinéma - Bertrand Tavernier (ex collège du Tonkin),COLLEGE,2 allée du Lys Orange ,69100,Villeurbanne,POINT (4.863710113971355 45.77637926438256)
Section d'enseignement général et professionnel adapté du Collège Louis Jouvet,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,23 rue DOCTEUR DOLARD BP 3038 69605 VILLEURBANNE CEDEX,69605,Villeurbanne,POINT (4.87253436472823 45.76108176835967)
Collège Saint-Louis de la Guillotière,COLLEGE,10 rue du Béguin ,69007,Lyon 7e Arrondissement,POINT (4.849077936086817 45.748722438472804)
Ecole secondaire privée La Maison d'Arqam,COLLEGE,27 rue DES FRERES AMADEO 69200 VENISSIEUX,69200,Vénissieux,POINT (4.890471608817136 45.71174777369062)
Ecole secondaire privée Horizons,COLLEGE,74 boulevard du 11 Novembre 1918 69100 VILLEURBANNE,69100,Villeurbanne,POINT (4.8672874634387355 45.7786296142956)
Collège la Xavière,COLLEGE,1 rue des Fontaines ,69970,Chaponnay,POINT (4.933134001034666 45.63114702195263)
Collège Jacques Coeur,COLLEGE,8 rue du Charpenay ,69210,Lentilly,POINT (4.665184441281357 45.816364437642605)
Collège Aux Lazaristes - La Salle,COLLEGE,Chemin de la Sablière ,69760,Limonest,POINT (4.768763488886685 45.83467173248947)
Collège Paul d'Aubarède,COLLEGE,85 avenue Charles de Gaulle ,69230,Saint-Genis-Laval,POINT (4.791910334046764 45.68185819207675)
Ecole secondaire privée Centre de Référence pour l'Evaluation Neuropsychologique de l'Enfant,COLLEGE,62 rue Montgolfier 69006 LYON,69006,Lyon 6e Arrondissement,POINT (4.8490113877258825 45.77180847884495)
Collège Louis Leprince-Ringuet,COLLEGE,20 rue Louis Rey BP 220 ,69740,Genas,POINT (5.011371984237088 45.73221016780147)
Collège Françoise Dolto,COLLEGE,58 avenue Paul Doumer ,69630,Chaponost,POINT (4.7457639999221355 45.71039305581111)
Ecole secondaire privée à enseignement spécifique Nescens,COLLEGE SPECIALISE,13 place Gutenberg 69300 CALUIRE ET CUIRE,69300,Caluire-et-Cuire,POINT (4.850506594045788 45.794468120445956)
Collège de la cité scolaire internationale,COLLEGE,2 place de Montréal ,69361,Lyon 7e Arrondissement,POINT (4.821920579586814 45.72830363050331)
Section d'enseignement général et professionnel adapté du Collège privé Mère Térésa,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,37 rue GERVAIS BUSSIERE 69100 VILLEURBANNE,69100,Villeurbanne,POINT (4.869906491245023 45.773743851297176)
Collège Beth Menahem,COLLEGE,293 rue Francis de Pressensé ,69100,Villeurbanne,POINT (4.897064879003308 45.76849935704521)
Section d'enseignement général et professionnel adapté du Collège Marie Laurencin,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,75 route DE SAINT CLEMENT BP 137 69173 TARARE CEDEX,69173,Tarare,POINT (4.444735523834281 45.896641185418495)
Collège Théodore Monod,COLLEGE,34 rue Jean Jaurès ,69500,Bron,POINT (4.903545049869182 45.730537989010315)
Collège Georges Charpak,COLLEGE,47 chemin des Andrés ,69126,Brindas,POINT (4.703621165797147 45.72206344255295)
Collège Gilbert Dru,COLLEGE,42 rue Jeanne Hachette ,69003,Lyon 3e Arrondissement,POINT (4.863728792262061 45.75320022308819)
Collège le Petit Pont,COLLEGE,730 avenue des hauts du lyonnais ,69850,Saint-Martin-en-Haut,POINT (4.553935487962847 45.65788563180425)
Section d'Enseignement Général et Professionnel Adapté du Collège Emile Zola,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,Avenue de Verdun 69220 BELLEVILLE EN BEAUJOLAIS,69220,Belleville-en-Beaujolais,POINT (4.7492541426159125 46.10498945788737)
Collège Christiane Bernardin,COLLEGE,7 bis Grande rue ,69340,Francheville,POINT (4.775001492956221 45.740847939631344)
Collège Privé Al Kindi,COLLEGE,17 RUE SULLY 69150 DECINES CHARPIEU,69150,Décines-Charpieu,POINT (4.975825350229936 45.7706972596651)
Ecole des enfants intellectuellement précoces de Lyon,COLLEGE,27 rue RAOUL SERVANT 69007 LYON,69007,Lyon 7e Arrondissement,POINT (4.8376610263313555 45.74567273688277)
Collège La Tourette,COLLEGE,80 boulevard de la Croix-Rousse ,69001,Lyon 1er Arrondissement,POINT (4.824942479785037 45.77364696686043)
Collège Charles de Gaulle,COLLEGE,48 route de Givors ,69780,Saint-Pierre-de-Chandieu,POINT (5.004029988525339 45.64722494323503)
Collège Jacques Chirac,COLLEGE,29 chemin du Chabert ,69400,Limas,POINT (4.700649827492931 45.97835293035336)
Collège Simone Veil,COLLEGE,989 route de L'Arbresle ,69380,Châtillon,POINT (4.641675580321432 45.86735067784399)
Ecole secondaire privée Bienheureux François de Fatima,COLLEGE,3 rue DES DEUX AMANTS 69009 LYON,69009,Lyon 9e Arrondissement,POINT (4.797247698680094 45.76916370052223)
