adresse,commune,surface_m2,aire_jeu,eau,toilettes,code_insee,longitude,latitude
15 28 Avenue Marc Sangnier,Villeurbanne,2857.4701,False,False,False,69266,4.874039765932654,45.76103503015672
16 Rue du 4 Septembre 1797,Villeurbanne,1356.58974371,False,False,False,69266,4.87251593972212,45.761659596880264
20 32 Rue Docteur Frappaz,Villeurbanne,1775.82302195,False,True,False,69266,4.894905821143394,45.76173813257478
21 Allée Léon Meiss,Villeurbanne,1157.36153041,False,False,False,69266,4.880518975664239,45.769034070055405
18 19 Avenue Marc Sangnier,Villeurbanne,2863.08082892,True,True,False,69266,4.874298567493719,45.76179471264058
25 116 Rue de la Ligne de l'Est,Villeurbanne,7396.40372013,False,False,False,69266,4.908958075847436,45.75634930658477
29 Rue des Charmettes,Villeurbanne,202.49109998,False,False,False,69266,4.867122573718834,45.76983672980813
33 46 Rue du Progrès,Villeurbanne,1989.20221891,True,True,False,69266,4.894286356588752,45.762656044078234
34 Allée du Couchant,Villeurbanne,2138.72405005,False,True,False,69266,4.879513251269315,45.759423865745596
31 27 Rue Hippolyte Kahn,Villeurbanne,654.68704499,False,False,False,69266,4.875698541944636,45.769640425736426
32 24 Rue Victor Basch,Villeurbanne,384.17549149,True,False,False,69266,4.896741001309149,45.76318072639711
42 63 Cours Tolstoï,Villeurbanne,6262.19864735,True,True,False,69266,4.876587019844284,45.76376441840804
38 56 Rue Florian,Villeurbanne,3332.5985041,True,True,False,69266,4.879678289683615,45.75798450801403
44 2 Rue Pierre Baratin,Villeurbanne,2273.84270605,True,False,False,69266,4.900539862930557,45.76459024867124
106 53 Rue Francis de Pressensé,Villeurbanne,7458.28218445,True,True,False,69266,4.872751563137294,45.773032393038555
53294 Place Aristide Briand,Lyon 3e Arrondissement,7416.89,True,True,True,69383,4.849381655689616,45.753290513872145
367 14 Rue Willy Brandt,Villeurbanne,5313.09427777,True,True,False,69266,4.917176592271231,45.76312073841449
376 18 Rue Jean Jaurès,Villeurbanne,2823.57863675,False,False,False,69266,4.879923175922374,45.75624807962573
378 Rue Julien Peyhorgue,Villeurbanne,1336.15461353,True,False,False,69266,4.882283135307591,45.770567541341784
380 59 Rue Léon Blum,Villeurbanne,7952.52528748,True,True,False,69266,4.895245822730834,45.76044892799976
394 66 Avenue Galline,Villeurbanne,2249.75470264,False,False,False,69266,4.867536636364442,45.77621806142103
395 74 Cours Emile Zola,Villeurbanne,1529.39448529,True,True,True,69266,4.870851186566107,45.77074607854058
393 3 Rue Frédéric Faÿs,Villeurbanne,253.39270325,False,False,False,69266,4.903101978681459,45.76476002497355
397 11 Rue de l'Avenir,Villeurbanne,4122.76459873,True,True,False,69266,4.90764536661304,45.755071505487734
30 10 chemin de la Buissière,Rillieux-la-Pape,3760.0,True,False,False,69286,4.88264237344264,45.80214095556113
53062 Place de la Reconnaissance,Lyon 3e Arrondissement,1953.89,True,True,False,69383,4.885782244552631,45.75405861803141
53074 Place Sainte Anne,Lyon 3e Arrondissement,2064.1,True,True,False,69383,4.865188219371039,45.75691057410055
53180 Rue Edison,Lyon 3e Arrondissement,643.49,False,False,False,69383,4.847863534748521,45.758208884153525
3139 51Cours Eugénie,Lyon 3e Arrondissement,1602.06,True,False,False,69383,4.887868537085238,45.74499189233659
52197 Rue Hrant Dink,Lyon 2e Arrondissement,2533.56,False,False,False,69382,4.815932662460737,45.73387335411452
9126 Pont de l'Ile Barbe,Lyon 9e Arrondissement,11392.11,True,True,True,69389,4.8301411742277045,45.79671266396304
28 5 Rue Alexandre Dumas,Rillieux-la-Pape,4638.0,False,False,True,69286,4.893456995487215,45.81466200982319
55066 Place des Minimes,Lyon 5e Arrondissement,6718.34,False,False,False,69385,4.820844786640821,45.75694862612874
17 165 Rue Ampère,Rillieux-la-Pape,70510.0,False,False,False,69286,4.892482699909257,45.817042777980056
52032 Place Gensoul,Lyon 2e Arrondissement,1825.74,False,False,False,69382,4.823741157156067,45.751105869994284
4061 57 Rue d'Ypres,Lyon 4e Arrondissement,10406.54,False,False,False,69384,4.816030640529223,45.781333973535745
53302 Place Charles De Gaulle,Lyon 3e Arrondissement,6204.09,False,False,False,69383,4.852350693491822,45.76078198510482
4183 61 Rue Chazière,Lyon 4e Arrondissement,14336.31,False,False,True,69384,4.813390790240214,45.77730782709354
4191 39 Rue de Cuire,Lyon 4e Arrondissement,3799.34,True,True,False,69384,4.830169083560083,45.77732868971158
5074 60 Rue Joliot Curie,Lyon 5e Arrondissement,13781.17,True,True,True,69385,4.788679212145429,45.754730881355556
7290 Quai du Canada,Lyon 7e Arrondissement,49728.27,True,True,True,69387,4.821084129405636,45.727283438595855
53056 Place Bir Hakeim,Lyon 3e Arrondissement,6734.49,True,True,True,69383,4.855619027974846,45.75307103592735
57186 Square du Professeur Galtier,Lyon 7e Arrondissement,3190.19,False,False,False,69387,4.830569839025506,45.72781108546289
5114 130 Rue Commandant Charcot,Lyon 5e Arrondissement,2485.57,False,False,False,69385,4.789405002867598,45.747902347778165
5117 6 Rue de la Garde,Lyon 5e Arrondissement,41050.02,True,True,True,69385,4.792591324596684,45.75908141969057
53184 Rue Feuillat,Lyon 3e Arrondissement,341.18,False,False,False,69383,4.877333295560871,45.75257227684163
5085 Place du 158 ème Régiment d'Infanterie,Lyon 5e Arrondissement,26784.35,False,False,False,69385,4.817292299519643,45.764972006118796
55215 Place Pierre Bossan,Lyon 5e Arrondissement,1949.41,True,False,False,69385,4.82087012906862,45.75268637038208
5139 22 Avenue du Point du Jour,Lyon 5e Arrondissement,909.83,False,False,False,69385,4.8043663571671855,45.75631260274642
5177 28 rue des aqueducs,Lyon 5e Arrondissement,1410.73,True,False,False,69385,4.79481409931531,45.758658830913205
5154 15 Rue du Boeuf,Lyon 5e Arrondissement,571.05,True,False,False,69385,4.827043991965936,45.76243128355096
6095 37 Boulevard des Brotteaux,Lyon 6e Arrondissement,2155.15,True,False,False,69386,4.857664146388231,45.765725684953146
6063 128 Rue Garibaldi,Lyon 6e Arrondissement,6306.79,True,True,False,69386,4.851029583833184,45.76438216248491
6161 40 Rue Germain,Lyon 6e Arrondissement,1495.82,False,True,False,69386,4.867011786943156,45.764767790757666
7061 7 Rue de l'Université,Lyon 7e Arrondissement,1244.88,False,False,False,69387,4.8387972780064885,45.75165566161371
35 1 Place du Château,Rillieux-la-Pape,3262.0,False,False,False,69286,4.893879344436331,45.825121377744594
3 6 Rue de l'école,Rillieux-la-Pape,9815.0,False,False,False,69286,4.90919743146903,45.83471382207725
7113 68 Rue Chevreul,Lyon 7e Arrondissement,2716.54,True,False,False,69387,4.844281040241022,45.746083131998915
7101 14 Rue Prosper Chappet,Lyon 7e Arrondissement,1968.99,True,True,True,69387,4.831449683686336,45.72958607075307
3164 27 Rue Maurice Flandin,Lyon 3e Arrondissement,8847.5,True,True,False,69383,4.863109144717664,45.759192281259814
3167 2 Passage Roger Bréchan,Lyon 3e Arrondissement,730.73,True,False,False,69383,4.866691850606818,45.750719002927134
3069 74 Rue Claude Farrere,Lyon 3e Arrondissement,509.2,False,False,False,69383,4.89402750956037,45.7427742294223
3270 26 Rue Docteur Rebatel,Lyon 3e Arrondissement,2029.87,False,True,False,69383,4.872084683546341,45.74800894677182
55217 Promenade de la Sarra,Lyon 5e Arrondissement,10526.83,False,False,False,69385,4.814344747471482,45.76288052150448
55064 Place de la Commanderie,Lyon 5e Arrondissement,787.01,True,True,False,69385,4.825103084360741,45.7576402757057
8102 43 Avenue de Préssensé,Lyon 8e Arrondissement,9900.31,True,True,False,69388,4.862961153390914,45.728475908539465
24 741 Route du Mas Rillier,Rillieux-la-Pape,96224.0,False,False,False,69286,4.913951618760681,45.82718767102751
6050 119 Rue des Charmettes,Lyon 6e Arrondissement,592.04,True,False,False,69386,4.86717565351204,45.764972288219916
55075 Place François Bertras,Lyon 5e Arrondissement,943.92,True,True,False,69385,4.825108762117295,45.75780983796582
8177 Place René et Madeleine Caille,Lyon 8e Arrondissement,3796.05,True,True,False,69388,4.864509110009142,45.73066628416161
1043 37 Rue Pierre Dupond,Lyon 1er Arrondissement,1429.44,True,False,False,69381,4.821916195497047,45.771838262867675
38,Rillieux-la-Pape,98932.0,False,False,False,69286,4.879805325594006,45.825781583278456
1040 10 Rue de Vauzelle,Lyon 1er Arrondissement,4930.55,True,True,True,69381,4.8262795602447985,45.77325172695996
1084 4 rue Rozier,Lyon 1er Arrondissement,532.74,True,False,False,69381,4.833549991470027,45.76944635882547
6097 16 Rue Louis Blanc,Lyon 6e Arrondissement,673.15,True,False,True,69386,4.848047937409871,45.76424009576533
3035 8 Rue du Docteur Paul Sisley,Lyon 3e Arrondissement,9982.59,True,True,True,69383,4.8685270857716185,45.75149016769075
8048 Angle Etat Unis Cazeneuve,Lyon 8e Arrondissement,2471.67,False,False,False,69388,4.863186812491493,45.73385736092341
4041 33 Rue Henry Gorjus,Lyon 4e Arrondissement,17430.88,True,True,True,69384,4.820753837004415,45.77725920716868
5123 1 Rue des Estrées,Lyon 5e Arrondissement,2063.68,True,False,False,69385,4.82789198971333,45.76080685556004
5128 Place du 158 ème Régiment d'Infanterie,Lyon 5e Arrondissement,5907.39,True,False,False,69385,4.813475905588114,45.76294855404734
1 Rue de la Mairie,Champagne-au-Mont-d'Or,3031.0,False,False,True,69040,4.7911209876,45.794805703092855
3 Rue de la Mairie,Champagne-au-Mont-d'Or,1877.0,False,False,False,69040,4.7909981852,45.79436366239291
4 Boulevard de la République,Champagne-au-Mont-d'Or,2378.0,False,False,False,69040,4.7882856821,45.79527480859281
5 Chemin du Coulouvrier,Champagne-au-Mont-d'Or,3460.0,False,False,True,69040,4.7787289572,45.796457008792665
6 Rue Bellevue,Champagne-au-Mont-d'Or,400.0,False,False,False,69040,4.784797949099999,45.795918773692726
"1215 40 , Rue de Crimee",Lyon 1er Arrondissement,1300.17,False,False,False,69381,4.831258566157992,45.773338215926934
4049 44 Rue Deleuvre,Lyon 4e Arrondissement,1913.54,True,False,False,69384,4.825514001768543,45.779638014377156
1156 20 Montée de la Butte,Lyon 1er Arrondissement,1349.58,False,False,False,69381,4.815955046452432,45.76958937067174
26 Chemin de la Teyssonnière,Rillieux-la-Pape,412793.0,False,False,False,69286,4.912049915760183,45.81958933337761
7104 Avenue Leclerc,Lyon 7e Arrondissement,29593.75,True,True,False,69387,4.8221447784972025,45.7330736526259
57134 14 Av Leclerc,Lyon 7e Arrondissement,1480.83,True,False,False,69387,4.831251822456916,45.74462051112056
1013 20 Place des Terreaux,Lyon 1er Arrondissement,7656.41,False,True,False,69381,4.833029791540201,45.76643175652206
4200 35 Quai Joseph Gillet,Lyon 4e Arrondissement,2713.2,True,True,True,69384,4.81138112657826,45.776581480835624
4063 67 Rue Henri Gorjus,Lyon 4e Arrondissement,2458.21,True,False,False,69384,4.823157178853695,45.783785981441916
