nom,nature,code_postal,adresse,insee,commune,lon,lat
Lycée professionnel Danielle Casanova,LYCEE PROFESSIONNEL,69700,7 avenue Danielle Casanova ,69091,Givors,4.766439826799746,45.59404718701789
Lycée Ampère,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,69002,29 rue de la Bourse ,69382,Lyon 2e Arrondissement,4.837004388689782,45.7652833652115
Lycée du Parc,LYCEE D ENSEIGNEMENT GENERAL,69458,1 boulevard Anatole France ,69386,Lyon 6e Arrondissement,4.856922375378193,45.771702861164115
Lycée Édouard Herriot,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,69455,6 place Edgar Quinet ,69386,Lyon 6e Arrondissement,4.845110421330025,45.765689703792646
Lycée Saint-Just,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,69005,21 rue des Farges ,69385,Lyon 5e Arrondissement,4.8212424666408005,45.75679648335028
Ecole technologique privée All In School,LYCEE D ENSEIGNEMENT TECHNOLOGIQUE,69150,13 rue Marceau 69150 DECINES CHARPIEU,69275,Décines-Charpieu,4.976463470633778,45.76180177721289
Lycée Lacassagne,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,69425,93 rue Antoine Charial ,69383,Lyon 3e Arrondissement,4.870405383851495,45.757760030497714
Lycée Antoine de Saint-Exupéry,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,69316,82 rue Hénon ,69384,Lyon 4e Arrondissement,4.8218894744007565,45.77966183894726
Ecole privée Silvya Terrade - International Silvya Terrade,LYCEE PROFESSIONNEL,69006,73 rue LOUIS BLANC 69006 LYON,69386,Lyon 6e Arrondissement,4.85430319621442,45.76530206809765
Ecole professionnelle privée Ateliers d'Apprentissage de la Giraudière,LYCEE PROFESSIONNEL,69690,LA GIRAUDIERE LA GIRAUDIERE 69690 BRUSSIEU,69031,Brussieu,4.540939677100338,45.749189999251634
Lycée Juliette Récamier,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,69287,57 rue de la Charité ,69382,Lyon 2e Arrondissement,4.831210420797867,45.75219537957104
Lycée professionnel Barthélemy Thimonnier,LYCEE PROFESSIONNEL,69210,160 avenue André Lassagne ,69010,L'Arbresle,4.613050900510913,45.83432422833564
Institut Sandar La Salle,LYCEE PROFESSIONNEL,69579,392 chemin de la Sablière BP 17 ,69116,Limonest,4.768763488886685,45.83467173248947
Lycée professionnel Tony Garnier,LYCEE PROFESSIONNEL,69500,235 boulevard Pinel ,69029,Bron,4.887129411109419,45.72672911256356
Lycée Auguste et Louis Lumière,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,69372,50 boulevard des Etats-Unis ,69388,Lyon 8e Arrondissement,4.862068356620207,45.73611182403345
Lycée Parc Chabrières,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,69600,9 chemin des Chassagnes ,69149,Oullins-Pierre-Bénite,4.809790411960818,45.72257677330354
Lycée polyvalent René Cassin,LYCEE POLYVALENT,69173,75 route de Saint-Clément BP 137 ,69243,Tarare,4.444735523834281,45.896641185418495
Lycée professionnel Diderot,LYCEE PROFESSIONNEL,69201,41 cours Général Giraud ,69381,Lyon 1er Arrondissement,4.822379789545433,45.76935588540566
Lycée professionnel Louise Labé,LYCEE PROFESSIONNEL,69007,65 boulevard Yves Farge ,69387,Lyon 7e Arrondissement,4.831353109291624,45.739688227130664
Lycée professionnel Magenta,LYCEE PROFESSIONNEL,69100,64 rue Magenta ,69266,Villeurbanne,4.8714046041468455,45.766139267369326
Lycée La Martinière Diderot - site Diderot,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,69283,41 cours Général Giraud ,69381,Lyon 1er Arrondissement,4.830024213685477,45.76801344610211
Section d'enseignement professionnel du Lycée polyvalent François Mansart,SECTION D ENSEIGNEMENT PROFESSIONNEL,69240,Rue JACQUARD 69240 THIZY LES BOURGS,69248,Thizy-les-Bourgs,4.312657072592858,46.02471434450935
Lycée La Martinière Diderot - site Terreaux,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,69283,18 place Gabriel Rambaud ,69381,Lyon 1er Arrondissement,4.830024213685477,45.76801344610211
Lycée professionnel Jean Lurçat,LYCEE PROFESSIONNEL,69008,4 rue Ludovic Arrachart ,69388,Lyon 8e Arrondissement,4.8629994310375295,45.73232685427198
Lycée professionnel Hélène Boucher,LYCEE PROFESSIONNEL,69631,18 rue Rosenberg BP 21 ,69259,Vénissieux,4.890852272727113,45.698211315827606
Lycée polyvalent Claude Bernard,LYCEE POLYVALENT,69665,234 rue Philippe Héron BP 475 ,69264,Villefranche-sur-Saône,4.712028447764922,45.98934570179681
Lycée polyvalent Frédéric Faÿs,LYCEE POLYVALENT,69615,46 rue Frédéric Faÿs BP 4076 ,69266,Villeurbanne,4.904947114549764,45.76193606556021
Lycée Marcel Sembat,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,69694,20 bd Marcel Sembat ,69259,Vénissieux,4.882702509812829,45.71648783527622
Section d'enseignement professionnel du Lycée polyvalent Frédéric Fays,SECTION D ENSEIGNEMENT PROFESSIONNEL,69615,46 rue Frédéric Fays BP 4076 69615 VILLEURBANNE CEDEX,69266,Villeurbanne,4.904947114549764,45.76193606556021
Lycée professionnel Camille Claudel,LYCEE PROFESSIONNEL,69004,15 rue de Cuire ,69384,Lyon 4e Arrondissement,4.830152393344741,45.77681781377212
Lycée Jean Perrin,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,69338,48 rue Pierre Baizet BP 41 ,69389,Lyon 9e Arrondissement,4.809199564976039,45.788395004213214
Ecole générale privée Saint-Augustin,LYCEE D ENSEIGNEMENT GENERAL,69340,10 avenue DU CHATER 69340 FRANCHEVILLE,69089,Francheville,4.772261503467737,45.74951448224092
Lycée horticole de Lyon-Dardilly - Paysage et environnement,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,69570,26 chemin de la Bruyère ,69072,Dardilly,4.770043077927612,45.814224317844804
"Lycée d'enseignement général, technologique et professionnel agricole André Paillot",LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,69230,4 chemin des Grabelières ,69204,Saint-Genis-Laval,4.787305105406347,45.66491687475812
Lycée professionnel Joseph-Marie Jacquard,LYCEE PROFESSIONNEL,69921,20-28 rue Louis Auguste Blanqui BP 35 ,69149,Oullins-Pierre-Bénite,4.810123605009668,45.71189515466997
Lycée professionnel Alfred de Musset,LYCEE PROFESSIONNEL,69100,128 rue de la Poudrette ,69266,Villeurbanne,4.921085557544194,45.756878439593805
Lycée professionnel Marie Curie,LYCEE PROFESSIONNEL,69100,64 boulevard Eugène Réguillon ,69266,Villeurbanne,4.896346783360018,45.761527027079175
Lycée professionnel Edmond Labbé,LYCEE PROFESSIONNEL,69600,9 chemin des Chassagnes ,69149,Oullins-Pierre-Bénite,4.809790411960818,45.72257677330354
Lycée professionnel Gustave Eiffel,LYCEE PROFESSIONNEL,69530,6 avenue Ferdinand Gaillard ,69027,Brignais,4.755361535635281,45.67592161620921
École supérieure d'arts appliqués - La Martinière Diderot,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,69283,18 place Gabriel Rambaud ,69381,Lyon 1er Arrondissement,4.830024213685477,45.76801344610211
Ecole privée multilingue Ombrosa,LYCEE D ENSEIGNEMENT GENERAL,69300,95 quai Clémenceau 69300 CALUIRE ET CUIRE,69034,Caluire-et-Cuire,4.843866846082679,45.80725374886751
Lycée polyvalent Édouard Branly,LYCEE POLYVALENT,69245,25 rue de Tourvielle ,69385,Lyon 5e Arrondissement,4.791799503028346,45.75308603804028
Ecole technologique privée Arts Appliqués Bellecour,LYCEE D ENSEIGNEMENT TECHNOLOGIQUE,69002,16 rue FRANCOIS DAUPHIN 69002 LYON,69382,Lyon 2e Arrondissement,4.832248988580166,45.75550130631655
Lycée Docteur Charles Mérieux,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,69007,2 avenue du pont Pasteur ,69387,Lyon 7e Arrondissement,4.822634469258512,45.732598465562496
Lycée La Martinière Duchère,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,69009,300 avenue Andreï Sakharov ,69389,Lyon 9e Arrondissement,4.796272598092091,45.78556787451016
Lycée de l'école Juive de Lyon,LYCEE D ENSEIGNEMENT GENERAL,69100,40 rue Alexandre Boutin ,69266,Villeurbanne,4.868782771327288,45.768340008364206
Lycée polyvalent Hector Guimard,LYCEE POLYVALENT,69361,23 rue Claude Veyron ,69387,Lyon 7e Arrondissement,4.857929994808795,45.74567026209121
Lycée Colbert,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,69372,20 rue Louis Jouvet ,69388,Lyon 8e Arrondissement,4.860280068704424,45.74497037458606
Lycée professionnel Jacques de Flesselles,LYCEE PROFESSIONNEL,69001,15 rue de Flesselles ,69381,Lyon 1er Arrondissement,4.826625580277794,45.77110128732064
Lycée Pierre Brossolette,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,69100,1 esplanade Agnès Varda ,69266,Villeurbanne,4.87756684078449,45.77091349213091
Lycée professionnel du Premier Film,LYCEE PROFESSIONNEL,69008,14 rue du Premier Film ,69388,Lyon 8e Arrondissement,4.868953326384553,45.74522597915817
