code_commune,nb_ventes,prix_median,prix_moyen,surface_moyenne,pieces_moyennes
69204,554,288500.0,379986.0,85.0,1.0
69205,125,328100.0,353453.0,79.0,2.0
69206,172,280000.0,314949.0,88.0,1.0
69207,140,336320.0,353074.0,75.0,1.0
69208,120,366000.0,324640.0,80.0,1.0
69209,76,75000.0,99345.0,71.0,0.0
69212,13,702650.0,792267.0,120.0,3.0
69214,75,230000.0,230679.0,76.0,1.0
69215,28,183500.0,202777.0,75.0,1.0
69216,36,136000.0,146726.0,75.0,0.0
69217,30,40000.0,65043.0,77.0,1.0
69218,56,181000.0,242594.0,96.0,2.0
69219,109,155000.0,228842.0,80.0,1.0
69220,46,120000.0,133614.0,107.0,1.0
69225,30,182032.0,138486.0,72.0,1.0
69227,134,90000.0,137003.0,73.0,1.0
69228,162,168725.0,189322.0,114.0,1.0
69229,107,75000.0,132569.0,74.0,1.0
69230,23,190000.0,200114.0,72.0,1.0
69231,88,170000.0,156645.0,70.0,1.0
69233,34,399500.0,486015.0,81.0,1.0
69234,52,20000.0,134834.0,96.0,1.0
69235,183,217000.0,206024.0,87.0,1.0
69236,22,50000.0,98759.0,71.0,1.0
69238,176,236500.0,235451.0,99.0,2.0
69239,66,18000.0,130958.0,73.0,1.0
69240,101,112000.0,97039.0,72.0,0.0
69241,79,321800.0,294514.0,77.0,1.0
69242,35,247500.0,209622.0,78.0,2.0
69243,425,160000.0,259603.0,81.0,2.0
69244,948,290000.0,637316.0,69.0,1.0
69245,77,133000.0,162969.0,79.0,1.0
69246,73,197000.0,227999.0,78.0,1.0
69248,256,105000.0,118471.0,85.0,1.0
69249,122,75000.0,161088.0,78.0,1.0
69250,272,402475.0,555515.0,119.0,1.0
69252,35,335000.0,413830.0,81.0,0.0
69253,75,168000.0,159358.0,78.0,1.0
69254,58,130000.0,97567.0,73.0,0.0
69255,453,167451.0,247397.0,107.0,1.0
69256,1084,190650.0,585214.0,83.0,1.0
69257,122,25719.0,62059.0,71.0,0.0
69258,101,26800.0,122974.0,72.0,1.0
69259,1480,190000.0,487074.0,90.0,1.0
69260,120,250000.0,347014.0,89.0,1.0
69261,4,1000.0,1000.0,69.0,0.0
69263,48,202000.0,382120.0,83.0,1.0
69264,1547,170000.0,264224.0,82.0,1.0
69265,55,145000.0,146601.0,79.0,1.0
69266,5271,207000.0,493885.0,73.0,1.0
69267,122,170000.0,174551.0,84.0,1.0
69268,82,287575.0,365640.0,92.0,1.0
69269,53,60000.0,107099.0,60.0,1.0
69270,166,320050.0,389424.0,93.0,1.0
69271,310,401000.0,492414.0,138.0,2.0
69272,111,302000.0,535829.0,188.0,1.0
69273,274,294500.0,5084893.0,142.0,1.0
69275,1059,249817.0,638460.0,76.0,1.0
