nom,nature,adresse,code_postal,commune,the_geom
Lycée polyvalent Jehanne de France,LYCEE POLYVALENT,6 rue de la Fraternelle ,69009,Lyon 9e Arrondissement,POINT (4.803600472461575 45.76931901782648)
Section d'enseignement professionnel du Lycée polyvalent Aiguerande,SECTION D ENSEIGNEMENT PROFESSIONNEL,Place GEORGES DUTREVE BP 50211 69220 BELLEVILLE EN BEAUJOLAIS,69220,Belleville-en-Beaujolais,POINT (4.746595498300483 46.10384236563821)
Section d'enseignement professionnel du Lycée polyvalent Edouard Branly,SECTION D ENSEIGNEMENT PROFESSIONNEL,25 rue DE TOURVIELLE 69322 LYON CEDEX 05,69322,Lyon 5e Arrondissement,POINT (4.791799503028346 45.75308603804028)
Ecole secondaire générale et professionnelle privée Academy OL,LYCEE POLYVALENT,8 rue MELINA MERCOURI 69330 MEYZIEU,69330,Meyzieu,POINT (5.010978328995216 45.76679273396769)
Lycée Rosa Parks,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,13 rue Pollet BP 10124 ,69582,Neuville-sur-Saône,POINT (4.84674312266278 45.87649688889654)
Lycée général et technologique privé Al Kindi,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,17 rue SULLY 69150 DECINES CHARPIEU,69150,Décines-Charpieu,POINT (4.975825350229936 45.7706972596651)
Section d'enseignement professionnel du Lycée polyvalent Charlie Chaplin,SECTION D ENSEIGNEMENT PROFESSIONNEL,373 avenue Jean Jaurès 69153 DECINES CHARPIEU CEDEX,69153,Décines-Charpieu,POINT (4.97569640166434 45.77263437420881)
Ecole professionnelle privée ELEA Presqu'île,LYCEE PROFESSIONNEL,41 quai FULCHIRON 69005 LYON,69005,Lyon 5e Arrondissement,POINT (4.821566873893875 45.75192100858133)
Lycée Saint-Charles,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,2831 route de Strasbourg ,69140,Rillieux-la-Pape,POINT (4.895287160774396 45.82026918705394)
Ecole secondaire privée International School Of Lyon,LYCEE D ENSEIGNEMENT GENERAL,80 CHEMIN DU GRAND ROULE 69110 STE FOY LES LYON,69110,Sainte-Foy-lès-Lyon,POINT (4.807272861544385 45.72963109506722)
Section d'enseignement professionnel du Lycée polyvalent Jacques Brel,SECTION D ENSEIGNEMENT PROFESSIONNEL,2 rue ALBERT JACQUARD 69200 VENISSIEUX,69200,Vénissieux,POINT (4.8806795919347365 45.694775921721615)
Lycée Beth Hanna,LYCEE D ENSEIGNEMENT GENERAL,293 rue Francis de Pressensé ,69100,Villeurbanne,POINT (4.897064879003308 45.76849935704521)
Lycée Germaine Tillion,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,500 allée de Grands Champs ,69210,Sain-Bel,POINT (4.598478269340394 45.823700781199825)
