FID,id,nom,desserte,pmr,ascenseur,escalator,gid,last_update,last_update_fme,the_geom,adresse,localise_face_a_adresse,commune,insee,zone
tcl_sytral.tclarret.2771,2771,St Cyr,"20:R,20:A,JD207:A,JD696:A,JD696:R",true,false,false,26091,2025-10-17T05:05:48.136,2025-10-17T05:05:48.136,POINT (4.818996962655 45.81447304234558),1 PLACE DE LA REPUBLIQUE,,Saint-Cyr-au-Mont-d'Or,69191,1
tcl_sytral.tclarret.2904,2904,Stade Jean Bouin,JD192:A,true,,,29346,2025-10-17T05:05:48.14,2025-10-17T05:05:48.14,POINT (4.924120963011 45.69779704566619),,,,,1
tcl_sytral.tclarret.293,293,Buyats,"JD241:A,JD78:R",true,,,29347,2025-10-17T05:05:48.141,2025-10-17T05:05:48.141,POINT (4.833139227116001 45.897227961111405),,,,,2
tcl_sytral.tclarret.294,294,Buyats,"JD241:R,JD78:A",false,,,29348,2025-10-17T05:05:48.142,2025-10-17T05:05:48.142,POINT (4.833202803453001 45.89720854822941),,,,,2
tcl_sytral.tclarret.30258,30258,Ecully Centre,"JD151:R,JD172:A",false,,,29349,2025-10-17T05:05:48.148,2025-10-17T05:05:48.148,POINT (4.778690004744001 45.77421102957318),,,,,1
tcl_sytral.tclarret.30260,30260,Hauts de Vassieux,"JD202:R,JD203:R,JD205:R,JD62:R",false,,,29350,2025-10-17T05:05:48.148,2025-10-17T05:05:48.148,POINT (4.862092530147 45.801382809164096),,,,,1
tcl_sytral.tclarret.30511,30511,Bellecour Le Viste,"C20:R,C20:A,C20E:R,C20E:A",true,,,29632,2025-10-17T05:05:48.153,2025-10-17T05:05:48.153,POINT (4.834047740168001 45.75771441558298),,,,,1
tcl_sytral.tclarret.3055,3055,Vaulx HDV Campus,"52:R,57:A,C8:R",true,,,29633,2025-10-17T05:05:48.154,2025-10-17T05:05:48.154,POINT (4.921392006062001 45.77681801930587),,,,,1
tcl_sytral.tclarret.3077,3077,Vaulx Pierre Frite,52:A,true,,,29634,2025-10-17T05:05:48.155,2025-10-17T05:05:48.155,POINT (4.932178956235001 45.774601038623125),,,,,1
tcl_sytral.tclarret.3091,3091,Vénissieux Marronniers,"C12:A,JD221:A",true,,,29352,2025-10-17T05:05:48.156,2025-10-17T05:05:48.156,POINT (4.877886348412 45.70540492218443),,,,,1
tcl_sytral.tclarret.3092,3092,Vénissieux Marronniers,"C12:R,JD221:R",true,,,29353,2025-10-17T05:05:48.156,2025-10-17T05:05:48.156,POINT (4.87744670776 45.70562191236541),,,,,1
tcl_sytral.tclarret.2772,2772,St Cyr,"20:A,JD207:R,JD819:A,JD819:R,S7:A",false,false,false,26092,2025-10-17T05:05:48.136,2025-10-17T05:05:48.136,POINT (4.819111787808 45.81456429917357),78 ROUTE DE LYON,,Saint-Cyr-au-Mont-d'Or,69191,1
tcl_sytral.tclarret.2776,2776,St Didier Ecoles,"20:R,22:R,23:R,84:R",true,false,false,26093,2025-10-17T05:05:48.136,2025-10-17T05:05:48.136,POINT (4.7980810142150006 45.812038464703875),30 AVENUE DE LA REPUBLIQUE,,Saint-Didier-au-Mont-d'Or,69194,1
tcl_sytral.tclarret.2777,2777,St Didier Eglise,"22:A,23:A,84:A,JD53:R,JD696:R,JD842:A",true,false,false,26094,2025-10-17T05:05:48.136,2025-10-17T05:05:48.136,POINT (4.7983974168820005 45.80961922061416),59 AVENUE DE LA REPUBLIQUE,,Saint-Didier-au-Mont-d'Or,69194,1
tcl_sytral.tclarret.32782,32782,Cazeneuve - Berthelot,C16:A,true,false,false,26521,2025-10-17T05:05:48.168,2025-10-17T05:05:48.168,POINT (4.865314524789 45.73741864629114),14 RUE PAUL CAZENEUVE,,Lyon 8e Arrondissement,69388,1
tcl_sytral.tclarret.47360,47360,Grigny La Colombe,"80:R,80:A",true,false,false,28383,2025-10-17T05:05:48.316,2025-10-17T05:05:48.316,POINT (4.799717045329 45.61631603397076),18 RUE PIERRE SEMARD,,Grigny-sur-Rhône,69096,2
tcl_sytral.tclarret.47361,47361,Place de la Liberté,81:R,true,false,false,28384,2025-10-17T05:05:48.316,2025-10-17T05:05:48.316,POINT (4.774933982008001 45.58541901704437),0 PLACE DE LA LIBERTE,,Givors,69091,2
tcl_sytral.tclarret.47362,47362,Observatoire,"78:A,S9:R",true,false,false,28385,2025-10-17T05:05:48.316,2025-10-17T05:05:48.316,POINT (4.786887988764001 45.6976340801782),42 AVENUE DE GADAGNE,,Saint-Genis-Laval,69204,1
tcl_sytral.tclarret.47363,47363,Charly Centre,"15E:R,78:R,JD261:A",true,false,false,28386,2025-10-17T05:05:48.316,2025-10-17T05:05:48.316,POINT (4.793064973415 45.64987200521176),102 RUE DES GOBINS,,Charly,69046,2
tcl_sytral.tclarret.47364,47364,Grigny La Colombe,"15E:A,78:A",true,false,false,28387,2025-10-17T05:05:48.316,2025-10-17T05:05:48.316,POINT (4.799661940543001 45.61613902786079),18 RUE PIERRE SEMARD,,Grigny-sur-Rhône,69096,2
tcl_sytral.tclarret.47368,47368,Les Provences,C19:A,true,false,false,28388,2025-10-17T05:05:48.316,2025-10-17T05:05:48.316,POINT (4.792923973941001 45.73540505207635),43 CHEMIN DU PLAN DU LOUP,,Sainte-Foy-lès-Lyon,69202,1
tcl_sytral.tclarret.47369,47369,Vaulx-en-Velin Aragon,C8:A,true,false,false,28389,2025-10-17T05:05:48.316,2025-10-17T05:05:48.316,POINT (4.929323004347001 45.78253100029125),37 AVENUE PAUL MARCELLIN,,Vaulx-en-Velin,69256,1
tcl_sytral.tclarret.47370,47370,Petit Sainte Foy,"C19:R,JD100:A",true,false,false,28390,2025-10-17T05:05:48.316,2025-10-17T05:05:48.316,POINT (4.809108969861 45.745478002676286),38 AVENUE VALIOUD,,Sainte-Foy-lès-Lyon,69202,1
tcl_sytral.tclarret.47373,47373,Berthet,49:A,true,false,false,28391,2025-10-17T05:05:48.316,2025-10-17T05:05:48.316,POINT (4.806865003158001 45.747264083673095),4 RUE NICOLAS BERTHET,,Sainte-Foy-lès-Lyon,69202,1
tcl_sytral.tclarret.47374,47374,Berthet,49:R,true,false,false,28392,2025-10-17T05:05:48.316,2025-10-17T05:05:48.316,POINT (4.806902048174 45.74721007181012),4 RUE NICOLAS BERTHET,,Sainte-Foy-lès-Lyon,69202,1
tcl_sytral.tclarret.47383,47383,Cornavent,"16:A,JD971:R",true,false,false,28397,2025-10-17T05:05:48.316,2025-10-17T05:05:48.316,POINT (4.967403994522999 45.76912604977573),31 RUE DE L EGALITE,,Décines-Charpieu,69275,1
tcl_sytral.tclarret.47384,47384,Colin,"37:A,69:R,JD981:R",true,false,false,28398,2025-10-17T05:05:48.317,2025-10-17T05:05:48.317,POINT (4.874926987524 45.77663106309791),66BIS AVENUE ROGER SALENGRO,,Villeurbanne,69266,1
tcl_sytral.tclarret.31082,31082,Benoit Tabard,JD151:R,false,,,29354,2025-10-17T05:05:48.156,2025-10-17T05:05:48.156,POINT (4.77805957096 45.773077461234294),,,,,1
tcl_sytral.tclarret.3158,3158,Place du Vercors,"JD120:R,JD128:A,JD130:R",false,,,29355,2025-10-17T05:05:48.16,2025-10-17T05:05:48.16,POINT (5.006386548248999 45.71968537450299),,,,,2
tcl_sytral.tclarret.31783,31783,Chemin du Plat,"JD151:A,JD151:R,JD174:R,JD174:A,JD31:R,JD31:A",false,,,29357,2025-10-17T05:05:48.161,2025-10-17T05:05:48.161,POINT (4.766474633486 45.77520991561104),,,,,1
tcl_sytral.tclarret.31784,31784,Chemin des Genêts,"JD151:A,JD151:R,JD174:R,JD174:A,JD31:A,JD31:R",false,,,29358,2025-10-17T05:05:48.161,2025-10-17T05:05:48.161,POINT (4.766402875317 45.772421153453365),,,,,1
tcl_sytral.tclarret.2783,2783,St Fons Albert Thomas,"60:R,C12:R",true,false,false,26096,2025-10-17T05:05:48.137,2025-10-17T05:05:48.137,POINT (4.858302056109999 45.70809722495316),37 RUE CARNOT,,Saint-Fons,69199,1
tcl_sytral.tclarret.2785,2785,St Fons Albert Thomas,"60:A,93:A",true,false,false,26097,2025-10-17T05:05:48.137,2025-10-17T05:05:48.137,POINT (4.858938493645 45.707686860347216),4 AVENUE ALBERT THOMAS,,Saint-Fons,69199,1
tcl_sytral.tclarret.2786,2786,St Fons Parmentier,"60:A,93:A,C12:A,JD22:A,JD976:R",true,false,false,26098,2025-10-17T05:05:48.137,2025-10-17T05:05:48.137,POINT (4.861072001337 45.705524017671415),40 RUE PARMENTIER,,Saint-Fons,69199,1
tcl_sytral.tclarret.2787,2787,St Fons Parmentier,"60:R,93:R,JD22:R",true,false,false,26099,2025-10-17T05:05:48.137,2025-10-17T05:05:48.137,POINT (4.860450021578 45.70556501792942),35 RUE PARMENTIER,,Saint-Fons,69199,1
tcl_sytral.tclarret.2788,2788,St Fortunat,"20:R,20:A,22:A,22:R,JD204:R,JD204:A,JD57:A,JD57:R",true,false,false,26100,2025-10-17T05:05:48.137,2025-10-17T05:05:48.137,POINT (4.794613957412999 45.825751112633256),1 PLACE PIERRE MARTEL,,Saint-Didier-au-Mont-d'Or,69194,1
tcl_sytral.tclarret.2790,2790,St Genis 2,"12:A,C10:R",true,false,false,26101,2025-10-17T05:05:48.137,2025-10-17T05:05:48.137,POINT (4.793288996141 45.68203501593375),90 AVENUE CHARLES DE GAULLE,,Saint-Genis-Laval,69204,1
