FID,uid,id_ariane,nom,num,numvoie,voie,codepost,commune,code_insee,reglement,surf_tot_m2,gestion,ann_ouvert,clos,openinghoursspecification,precision_horaires,acces,circulation,label,type_equip,eau,toilettes,chien,esp_can,photo,gid,the_geom,openinghours,last_update_fme,horaires
com_donnees_communales.comparcjardin_1_0_0.140,PAR-69386-06063,S8225,Jardin Europe Garibaldi,6063,128,Rue Garibaldi,69006,Lyon 6e Arrondissement,69386,oui,6306.79,Espaces Verts,,oui,,,Piéton,,non,Aire de jeux,oui,non,Non,Non,0,140,"MULTIPOLYGON (((4.851029583833184 45.76438216248491, 4.850377483103271 45.76435091829136, 4.85028495857356 45.764840955824845, 4.850178309297027 45.76544408586991, 4.8507836863043705 45.76550435217661, 4.850834023974675 45.76547887271584, 4.850861475298954 45.76530256153098, 4.850926621399085 45.764906031330206, 4.850933332881833 45.764906732171966, 4.850940391354436 45.76486773631789, 4.85096832749171 45.764717697895314, 4.850969168907451 45.76470427385177, 4.850978774509997 45.764656596327896, 4.8509975460001 45.764552068186084, 4.851016392139886 45.76444951887702, 4.851029583833184 45.76438216248491)))",[],2025-07-25T08:55:31.892,
com_donnees_communales.comparcjardin_1_0_0.290,PAR-69386-06161,S8234,Jardin Descour,6161,40,Rue Germain,69006,Lyon 6e Arrondissement,69386,oui,1495.82,Espaces Verts,,oui,,,Piéton,,non,,oui,non,Non,Non,0,290,"MULTIPOLYGON (((4.867011786943156 45.764767790757666, 4.867012047847484 45.76476778647647, 4.867018298337599 45.764885317580976, 4.867023562953946 45.76498873442088, 4.8670322855102865 45.76514942630484, 4.866747203819656 45.76514600362758, 4.866695118380704 45.7651456881236, 4.866556831615645 45.76514453668402, 4.866557252089164 45.765049576840006, 4.8665572177662515 45.76504075712936, 4.866558531594651 45.76500311440847, 4.86655838699292 45.76499879664657, 4.8665587730697135 45.7649143676923, 4.8665588002932685 45.764896096678434, 4.866558853333589 45.76488988561549, 4.866558263922908 45.764780091874805, 4.866566996710074 45.76477985861001, 4.867011786943156 45.764767790757666)))",[],2025-07-25T08:55:31.893,
com_donnees_communales.comparcjardin_1_0_0.258,PAR-69387-07061,S8292,Jardin Deperret,7061,7,Rue de l'Université,69007,Lyon 7e Arrondissement,69387,oui,1244.88,Espaces Verts,,non,,,Piéton,,non,,non,non,Non,Non,0,258,"MULTIPOLYGON (((4.8387972780064885 45.75165566161371, 4.838603919093416 45.75138671045699, 4.838092777500661 45.75158262549544, 4.838148953696896 45.75165254945983, 4.838157650404453 45.75164718880281, 4.838159062566033 45.75164716598347, 4.838160442101602 45.751646153667444, 4.838161989183044 45.75164612866784, 4.838161953591007 45.75164504921694, 4.838163365752529 45.75164502639753, 4.838164868247187 45.75164392209237, 4.838166280408681 45.75164389927291, 4.838166247782572 45.75164290977626, 4.838167659944039 45.75164288695677, 4.838169207025389 45.75164286195712, 4.838169171433216 45.751641782506205, 4.838170583594648 45.75164175968672, 4.8381721216813105 45.75164173483232, 4.838173507245145 45.75164063241655, 4.838175045331769 45.75164060756213, 4.838176457493176 45.75164058474255, 4.838177869654579 45.75164056192297, 4.838177837028264 45.751639572426306, 4.838179384109518 45.75163954742649, 4.838180796270896 45.751639524606865, 4.838182331391451 45.7516394097981, 4.838183710926406 45.751638397481805, 4.838185132082409 45.751638374516766, 4.838186670168966 45.75163834966218, 4.838188082330309 45.751638326842475, 4.8381896264454785 45.75163821188826, 4.838378725062378 45.751649466347956, 4.838372602486949 45.75170941674174, 4.838361912324486 45.75179842165108, 4.838377525474939 45.751819679846776, 4.8384036853663 45.751809806844236, 4.838434013516046 45.75179779642006, 4.838659771075114 45.75170819552045, 4.8387972780064885 45.75165566161371)))",[],2025-07-25T08:55:31.893,
com_donnees_communales.comparcjardin_1_0_0.531,PAR-69286-035,,Place du Château,35,1,Place du Château,69140,Rillieux-la-Pape,69286,oui,3262,Commune/Métropole,1970,non,[],,Transport/ Motorisé / Piéton/ Cycle,Piétonne,non,,non,non,Tenus,non,,531,"MULTIPOLYGON (((4.893879344436331 45.825121377744594, 4.89394122092117 45.82513444156915, 4.894075949227519 45.82483424197075, 4.894014118678429 45.824822519619055, 4.894032804278766 45.82477925981695, 4.894065901577521 45.82476461678151, 4.894089793490013 45.82476153516555, 4.894102310380594 45.82476266917958, 4.894078142683272 45.82481407311013, 4.8950071337684555 45.82500665587583, 4.895026663843931 45.82496002645175, 4.8950661333692675 45.824963396259186, 4.89509454753211 45.824980371585205, 4.895102792929883 45.82499701139222, 4.895093404616077 45.82503139265902, 4.8949513713324455 45.82537063768612, 4.894941092558826 45.825378861643784, 4.894923070595329 45.82538520117916, 4.894909731177751 45.82538810741421, 4.894855734330191 45.82538095274195, 4.89487549293845 45.82534103034495, 4.893981969271052 45.825147185601864, 4.893929455816154 45.82518362599578, 4.893896496204869 45.825174107836276, 4.893876967285001 45.825164366355004, 4.893873450452802 45.8251456346048, 4.89387297133109 45.825131549902615, 4.893879344436331 45.825121377744594)))",[],2024-07-08T15:45:44.987,
com_donnees_communales.comparcjardin_1_0_0.63,PAR-69286-003,,Les parcs urbain de Vancia,3,6,Rue de l'école,69140,Rillieux-la-Pape,69286,oui,9815,Commune,1980,non,[],,Piéton / Cycle / Motorisé,Piétonne,non,Aires de jeux / terrain sportif / Terrain de pétanque,non,non,Tenus,non,,63,"MULTIPOLYGON (((4.90919743146903 45.83471382207725, 4.909401435371566 45.835126374827794, 4.909421807906688 45.8351730870651, 4.909444525901723 45.83519252418036, 4.909472479346364 45.83520715499619, 4.90951694476888 45.8352177342075, 4.909549518921045 45.835209638544264, 4.909606334113449 45.835186666339304, 4.909762185209297 45.83512522930763, 4.909762185209297 45.83512522930763, 4.909762185209297 45.83512522930763, 4.909762185209297 45.83512522930763, 4.909762185209297 45.83512522930763, 4.909762185209297 45.83512522930763, 4.909929720802036 45.83504313497406, 4.910506943520999 45.83475910279922, 4.91061785342123 45.834701689748286, 4.910562812370392 45.83446165243517, 4.910460569024862 45.834472175045065, 4.910398929497211 45.834104097855835, 4.910494417470938 45.83418522837128, 4.910467362311544 45.83410020844685, 4.910467362311544 45.83410020844685, 4.910467362311544 45.83410020844685, 4.910467362311544 45.83410020844685, 4.910467362311544 45.83410020844685, 4.910467362311544 45.83410020844685, 4.910467362311544 45.83410020844685, 4.910467362311544 45.83410020844685, 4.910467362311544 45.83410020844685, 4.910467362311544 45.83410020844685, 4.910467362311544 45.83410020844685, 4.910405737287645 45.833912459745, 4.910365328368491 45.83384228395942, 4.9100012368091335 45.83409060758631, 4.909962972980894 45.83411778830642, 4.909830386521132 45.83430340155176, 4.909629333514035 45.83444800688484, 4.9095317962977205 45.83470066838068, 4.90919743146903 45.83471382207725)), ((4.9097003374017865 45.83608871273704, 4.909701852343199 45.836372041128364, 4.909772800615742 45.83641992467719, 4.909772800615742 45.83641992467719, 4.909772800615742 45.83641992467719, 4.909772800615742 45.83641992467719, 4.90971432367939 45.83612532093906, 4.910001127340378 45.8360971076401, 4.910053738935429 45.83599852182919, 4.9100765394856705 45.83587608654134, 4.910081116844899 45.83585210250504, 4.910481234476337 45.8358139363993, 4.910473174890395 45.83578890598224, 4.9100782820844575 45.83582195134863, 4.910079697052062 45.835786332497676, 4.910061200602492 45.835691376771734, 4.910021028629369 45.83560339251031, 4.909983484890271 45.835545354716196, 4.90965084843259 45.83565232203421, 4.909698471830761 45.835874874967466, 4.909698471830761 45.835874874967466, 4.9097003374017865 45.83608871273704)), ((4.910549564975879 45.83633623441902, 4.910549564975879 45.83633623441902, 4.910549564975879 45.83633623441902, 4.910549564975879 45.83633623441902, 4.910549564975879 45.83633623441902, 4.910549564975879 45.83633623441902, 4.910549564975879 45.83633623441902, 4.910549564975879 45.83633623441902, 4.910549564975879 45.83633623441902, 4.910549564975879 45.83633623441902, 4.910549564975879 45.83633623441902, 4.910549564975879 45.83633623441902, 4.910549564975879 45.83633623441902, 4.910549564975879 45.83633623441902, 4.910549564975879 45.83633623441902, 4.910549564975879 45.83633623441902, 4.910549564975879 45.83633623441902, 4.910549564975879 45.83633623441902, 4.910549564975879 45.83633623441902, 4.910549564975879 45.83633623441902)))",[],2024-07-08T16:04:53.07,
com_donnees_communales.comparcjardin_1_0_0.238,PAR-69387-07113,S8325,Square Chevreul,7113,68,Rue Chevreul,69007,Lyon 7e Arrondissement,69387,oui,2716.54,Espaces Verts,,oui,,,Piéton,,non,Aire de jeux,non,non,Non,Non,0,238,"MULTIPOLYGON (((4.844281040241022 45.746083131998915, 4.843920489492424 45.74622011107904, 4.843908294983862 45.7462750302086, 4.844364483798656 45.746654644103316, 4.844511359341544 45.74667611302204, 4.844698067151429 45.74660387328886, 4.844854256207807 45.74654157849637, 4.844865336367655 45.74649189746574, 4.8447368341298835 45.74638849885662, 4.84436979685742 45.74609249309358, 4.844281040241022 45.746083131998915)))",[],2025-07-25T08:55:31.893,
com_donnees_communales.comparcjardin_1_0_0.308,PAR-69387-07101,S8294,Square Ancel,7101,14,Rue Prosper Chappet,69007,Lyon 7e Arrondissement,69387,oui,1968.99,Espaces Verts,,oui,,,Piéton,,non,Aire de jeux,oui,oui,Non,Non,0,308,"MULTIPOLYGON (((4.831449683686336 45.72958607075307, 4.8315070796003985 45.729623667223535, 4.8320534308735805 45.729609285654824, 4.832006108969396 45.72953030613921, 4.831770490325236 45.72912936217959, 4.831359164026013 45.729244080336635, 4.831449683686336 45.72958607075307)))",[],2025-07-25T08:55:31.894,
com_donnees_communales.comparcjardin_1_0_0.180,PAR-69383-03164,S8347,Jardin Soeur J. Jugan,3164,27,Rue Maurice Flandin,69003,Lyon 3e Arrondissement,69383,oui,8847.5,Espaces Verts,,oui,,,Piéton,,non,Aire de jeux,oui,non,Oui,Non,0,180,"MULTIPOLYGON (((4.863109144717664 45.759192281259814, 4.864037184299722 45.75925178186843, 4.864058594578129 45.759253591136364, 4.865313068246011 45.75933518324414, 4.86536709640121 45.75937434865443, 4.865367193222452 45.7593810072752, 4.865367069316211 45.759396669796445, 4.8640392474966525 45.75930970985425, 4.864041430052369 45.759390316584444, 4.864047650541569 45.75957229028523, 4.8640463696083165 45.759595621992, 4.8640542234904505 45.75985362127225, 4.864055176664713 45.75987808640976, 4.8640638064824 45.76012860273984, 4.864064475954407 45.760163962860524, 4.864064471175701 45.760175393290915, 4.864031452994524 45.76017611427705, 4.863643796311099 45.76018858524043, 4.863643991803373 45.76019443221759, 4.86357900199985 45.76019648681219, 4.863578911775783 45.76019378820729, 4.863350573450372 45.76020229835018, 4.863350969678508 45.76020661199283, 4.863099952239936 45.76021360301411, 4.863099344887339 45.760195432405304, 4.8630973475100525 45.76015883399636, 4.863091987707811 45.76004452827632, 4.863090677833413 45.76001691888316, 4.86305371882945 45.75923054006376, 4.863069433588499 45.759219752397634, 4.8630955828595965 45.75920177363671, 4.863109144717664 45.759192281259814)))",[],2025-07-25T08:55:31.894,
com_donnees_communales.comparcjardin_1_0_0.347,PAR-69383-03167,S8348,Square Bréchan,3167,2,Passage Roger Bréchan,69003,Lyon 3e Arrondissement,69383,oui,730.73,Espaces Verts,,oui,,,Piéton,,non,Aire de jeux,non,non,Non,Non,0,347,"MULTIPOLYGON (((4.866691850606818 45.750719002927134, 4.866556036388485 45.75073284198492, 4.866519006776303 45.75073668970943, 4.86633083967666 45.75075714772176, 4.866330834944601 45.750480658831066, 4.866541842059495 45.75042796498443, 4.866659517819557 45.750655631437056, 4.866672851574171 45.75068160348002, 4.866674513070059 45.75068499632575, 4.866691850606818 45.750719002927134)))",[],2025-07-25T08:55:31.895,
com_donnees_communales.comparcjardin_1_0_0.285,PAR-69383-03069,S8340,Square Farrère,3069,74,Rue Claude Farrere,69003,Lyon 3e Arrondissement,69383,oui,509.2,Espaces Verts,,non,,,Piéton,,non,,non,non,Non,Non,0,285,"MULTIPOLYGON (((4.89402750956037 45.7427742294223, 4.893984128284022 45.74269313846136, 4.893891517384467 45.74269891082957, 4.8937627314345455 45.742706995543884, 4.893760957941039 45.74268501916416, 4.893732102063755 45.742686984696505, 4.893733870477487 45.74270873615177, 4.893752800510022 45.742914259461955, 4.893750237475348 45.74291430213827, 4.893750816656709 45.74291996272881, 4.893917072271296 45.742898653570926, 4.894081753444468 45.74287656035444, 4.89402750956037 45.7427742294223)))",[],2025-07-25T08:55:31.896,
com_donnees_communales.comparcjardin_1_0_0.343,PAR-69383-03270,S8352,Square Rebatel,3270,26,Rue Docteur Rebatel,69003,Lyon 3e Arrondissement,69383,oui,2029.87,Espaces Verts,,non,,,Piéton,,non,,oui,non,Non,Non,0,343,"MULTIPOLYGON (((4.872084683546341 45.74800894677182, 4.872311624009898 45.748457927012325, 4.872324588162928 45.74848408452319, 4.872386955711395 45.748610952303686, 4.87264664996644 45.74854610506883, 4.872754883968985 45.74851912224887, 4.872717640644563 45.74845520320135, 4.872691177137934 45.74840973730951, 4.8726790326274605 45.74838869652046, 4.872459769847646 45.74800763292439, 4.872423217090275 45.747956752870564, 4.87240840378402 45.747944396285625, 4.872387659211913 45.74793897757118, 4.872362805502594 45.747937946642885, 4.872084683546341 45.74800894677182)))",[],2025-07-25T08:55:31.897,
com_donnees_communales.comparcjardin_1_0_0.223,PAR-69385-55217,S8272,Promenade de la Sarra,55217,,Promenade de la Sarra,69005,Lyon 5e Arrondissement,69385,oui,10526.83,Espaces Verts,,oui,,,Piéton/Vélo,,non,,non,non,Oui,Non,0,223,"MULTIPOLYGON (((4.814344747471482 45.76288052150448, 4.814342997903202 45.76288594949097, 4.814325463499462 45.76293986996561, 4.8142952661119285 45.763011542644165, 4.814282045391019 45.76306359429488, 4.8145600757704665 45.76312747160893, 4.814577873317324 45.763089657160045, 4.814991532200506 45.76318800087197, 4.815050890756218 45.76307176208444, 4.815038213547723 45.763069444278045, 4.815051571059847 45.763033500608586, 4.815056743245658 45.7630344981158, 4.815574654422016 45.763131716570115, 4.815661425937506 45.76314662216941, 4.815661900648181 45.76314544457472, 4.815789631409959 45.763138906098185, 4.8159941114004905 45.763127812458045, 4.816101689364844 45.76314202562484, 4.816104186177741 45.763139645732146, 4.816229042258476 45.76315538301618, 4.8162690756840485 45.76316050405107, 4.816304118341664 45.763166604757984, 4.8163418836333305 45.763173111997666, 4.816389386869606 45.763182613817285, 4.816390292390315 45.763182779364165, 4.816529329293769 45.76320360002079, 4.8167728331042365 45.76326523316587, 4.81684710643373 45.76357932244957, 4.816875690557404 45.76357643596484, 4.817350286990603 45.763528175659566, 4.818281695727278 45.76344642352905, 4.81878656215949 45.76340370355198, 4.818794753922147 45.7634222029257, 4.818830719270639 45.763413257851234, 4.818822167332749 45.763399444318694, 4.818862018898266 45.763395117191095, 4.818846951482357 45.76336286749556, 4.818883445574513 45.763322683409, 4.81889488484188 45.76329892012737, 4.818886467939503 45.76328924451273, 4.818892531259898 45.76328968759167, 4.819262897115136 45.763184314438256, 4.8192787517861575 45.76319738115912, 4.819296792213077 45.76320240278758, 4.8193129860445305 45.76320214384762, 4.819325648474226 45.76320014134178, 4.819340622903298 45.76319396179239, 4.819353838507617 45.76318133025195, 4.8193558474548155 45.76316014775751, 4.819720202320417 45.76306728942426, 4.819721851997923 45.763066813031834, 4.819723510671949 45.76306633649548, 4.819725169345946 45.763065859959106, 4.819726828019915 45.763065383422706, 4.8197286126455525 45.76306490487182, 4.819730265259783 45.7630645184339, 4.819731920996798 45.76306395194281, 4.819733579670652 45.7630634754063, 4.819735748210918 45.76306290071346, 4.819737784739785 45.763062418133536, 4.819739953279966 45.76306184344062, 4.819741998805303 45.76306136071674, 4.819744158348851 45.76306078616762, 4.819746326888905 45.76306021147456, 4.819748372414128 45.76305972875057, 4.819750540954096 45.76305915405745, 4.819763414307825 45.763055618101575, 4.819776410674641 45.763051990175164, 4.819789278151146 45.763048274307145, 4.8198020077407575 45.76304447064149, 4.81981487227682 45.76304066481598, 4.819827736811123 45.763036858989, 4.8198406072177615 45.76303323306978, 4.819853606511404 45.76302969508915, 4.819856284915037 45.76302902223716, 4.819858963318606 45.763028349385095, 4.8198616417221105 45.76302767653298, 4.819864317188467 45.76302691372619, 4.81986699559184 45.76302624087395, 4.81986954804354 45.76302557003623, 4.819872226446784 45.76302489718386, 4.819874904849966 45.76302422433144, 4.819887918824933 45.76302113611993, 4.819900935735604 45.76301813786155, 4.819914084470777 45.76301531749625, 4.819927113127417 45.76301267905331, 4.819940276730926 45.76301003845031, 4.819953569221975 45.76300748578569, 4.819966729700963 45.76300502523276, 4.819979887241518 45.76300247472366, 4.819980781020882 45.76300228042357, 4.819981677737512 45.76300217607803, 4.819982571516864 45.763001981777926, 4.819983339344667 45.76300178949251, 4.8199842360612815 45.763001685146975, 4.81998512984062 45.76300149084683, 4.8199860265572285 45.76300138650129, 4.819986920336555 45.76300119220113, 4.819996354180152 45.763010581465096, 4.820006382553486 45.76301447112084, 4.8200028077881525 45.763019118384946, 4.82009265856553 45.76304945163963, 4.820278458612047 45.763112180411675, 4.820275252905262 45.76311655177535, 4.820322455483487 45.76313253688856, 4.820676028429857 45.76325306178109, 4.8208057123921435 45.763298327342504, 4.820841948928621 45.76330926764252, 4.821150379531699 45.76339829294082, 4.821073016775947 45.76351383325345, 4.821095371291165 45.76352112559373, 4.821140350058699 45.76353597594882, 4.821125878331238 45.76355753796706, 4.821184801091884 45.76357792522119, 4.821199885108846 45.76355554337996, 4.821379923558529 45.763614852557225, 4.821435294222377 45.763633136507444, 4.821529731672739 45.7634812319311, 4.8216297304895726 45.763523191744085, 4.821829734631203 45.76360702100729, 4.82198963386138 45.76360122051025, 4.8220414330241725 45.76359643093895, 4.822165063040882 45.763578430769876, 4.822150062690676 45.763508919725844, 4.822128559037003 45.76351196415339, 4.822107562306652 45.763514820455384, 4.822023719134786 45.763526513327164, 4.821983905947673 45.76353201097109, 4.8219180255914385 45.76353477595801, 4.821855617924202 45.76353748530073, 4.821797608781436 45.763375691190646, 4.82178067489441 45.76333348156042, 4.8217412351971 45.76332286284829, 4.821700104509719 45.76331173118747, 4.821363174151054 45.763220463554404, 4.82130946578967 45.763205933034, 4.821307259047589 45.76320533834737, 4.821293649799907 45.763233456702494, 4.820999152438373 45.76315788904798, 4.820623966198358 45.763060751420035, 4.820542101520912 45.763038480941276, 4.820370462748518 45.76299208632153, 4.820218477273185 45.76296067730477, 4.8202083932629 45.76295921860092, 4.82019831237444 45.762957579843054, 4.8201883545004005 45.762955849114704, 4.820178273613138 45.76295421035507, 4.820168186667506 45.762952661693056, 4.82015811165652 45.76295120284083, 4.820147919507248 45.76295001586643, 4.820137727174441 45.76294909889887, 4.820127930505268 45.76294844560562, 4.8201181545828105 45.762948151986045, 4.820108375538871 45.76294803841875, 4.820098473481012 45.76294801682006, 4.820088577298038 45.76294817512974, 4.820078678177586 45.76294824348397, 4.820068905008526 45.76294830982247, 4.820059002950634 45.762948288220365, 4.81997534179462 45.762957546635704, 4.819957187697291 45.76296089708142, 4.819939030660583 45.76296415756962, 4.819920756666813 45.76296741992571, 4.819902476611512 45.76297077237736, 4.819884193616901 45.76297403487147, 4.819866180330924 45.76297756305337, 4.819848160983184 45.76298118133093, 4.819830291266284 45.76298524722025, 4.819816893382409 45.7629884315673, 4.81980363631903 45.7629917936636, 4.819790505019944 45.76299542375158, 4.819777382715683 45.76299905369413, 4.819764251413175 45.76300268377906, 4.819751126168596 45.763006223763966, 4.819737988988935 45.76300967393666, 4.81972459403077 45.763012948227455, 4.819721537771576 45.763013627119655, 4.8197185984673485 45.76301430414122, 4.819715530274621 45.76301489322256, 4.8197124679555055 45.76301566221303, 4.819709537647603 45.763016339090484, 4.819706469454668 45.76301692817157, 4.819703533086907 45.76301769514738, 4.819700605715607 45.763018461979236, 4.819699711935006 45.76301865627715, 4.819698944105994 45.76301884856061, 4.819698053262196 45.76301913281314, 4.819697159481578 45.76301932711104, 4.819696391652545 45.76301951939451, 4.819695497871915 45.76301971369238, 4.819694741976225 45.763019995786586, 4.819693848195579 45.763020190084454, 4.819292775786655 45.763130645753506, 4.819266528111825 45.763137815567596, 4.818862400389472 45.76324516849016, 4.8188509247208495 45.763248231991156, 4.8188451985458745 45.76324598348921, 4.818784515008857 45.76326621389297, 4.818727119116085 45.76327658154099, 4.8186463726471365 45.763280842290825, 4.818644978052011 45.76328527465864, 4.818085058613146 45.76328405297603, 4.817065497908096 45.76326901973121, 4.817058145159601 45.763268507146186, 4.817050795542716 45.76326781450761, 4.817043448858561 45.76326721182326, 4.817036096110509 45.76326669923682, 4.817028749426655 45.76326609655152, 4.817021528695213 45.763265491854284, 4.817014179079182 45.763264799213374, 4.817006955415582 45.76326410456056, 4.8169962414740555 45.763262925637, 4.816985653684463 45.7632614746933, 4.816975056898831 45.76326002389229, 4.81696434022569 45.763258485003334, 4.8169537375763865 45.76325685429097, 4.816943143924288 45.76325522343395, 4.816932544208586 45.76325368267431, 4.816921953490059 45.763252141769975, 4.816791332529048 45.76322524710443, 4.816758045340777 45.76307196604758, 4.816466808817157 45.76307247597775, 4.816238715268819 45.763085117439864, 4.816010486872523 45.76309749059097, 4.815077611948983 45.76297242419433, 4.815075027219181 45.762972105422456, 4.814344747471482 45.76288052150448)))",[],2025-07-25T08:55:31.898,
com_donnees_communales.comparcjardin_1_0_0.323,PAR-69385-55064,S8266,Place de la Commanderie,55064,,Place de la Commanderie,69005,Lyon 5e Arrondissement,69385,oui,787.01,Espaces Verts,,non,,,Piéton,,non,Aire de jeux-Fontaine,oui,non,Oui,Non,0,323,"MULTIPOLYGON (((4.825103084360741 45.7576402757057, 4.825087508007316 45.75764367565238, 4.825080573602621 45.75765179705525, 4.825036177184817 45.757662319466135, 4.824973284064384 45.757559826343375, 4.82501814325771 45.75754749649654, 4.825190556482549 45.757484339335186, 4.825191757995422 45.75748585008905, 4.825414610030391 45.75740019292646, 4.825387426203324 45.75736327835848, 4.825467858878904 45.75732634706311, 4.825481352292245 45.75732613054802, 4.825497664266928 45.7573413491119, 4.82563942360198 45.757492617384365, 4.8256572895555445 45.75751186106991, 4.825559129261324 45.75753377666261, 4.825523780387487 45.757522373650936, 4.825502364657869 45.757528027398834, 4.825497564879213 45.75752657438642, 4.825388563317411 45.75755109383848, 4.825380761080203 45.75755634912805, 4.825391285022523 45.75758336080873, 4.825355042994049 45.757591682466014, 4.825103084360741 45.7576402757057)))",[],2025-07-25T08:55:31.899,
com_donnees_communales.comparcjardin_1_0_0.101,PAR-69388-08102,S8390,Jardin de Préssensé,8102,43,Avenue de Préssensé,69008,Lyon 8e Arrondissement,69388,oui,9900.31,Espaces Verts,,oui,,,Piéton/Vélo,,non,Aire de jeux,oui,non,Non,Non,0,101,"MULTIPOLYGON (((4.862961153390914 45.728475908539465, 4.8616362737016106 45.72809700451185, 4.861269322922753 45.728630519309455, 4.861483486433878 45.7286863253872, 4.861596159323457 45.72871625180931, 4.861598233016958 45.72871288774825, 4.861787572706636 45.72876045939079, 4.861934019275143 45.72879721272293, 4.861824125761885 45.72901600938155, 4.861739046317449 45.72918534800734, 4.861708435933997 45.72924633119679, 4.86233034548489 45.72939734241352, 4.862358771935606 45.72935583546531, 4.86252542812208 45.72911252772203, 4.862961153390914 45.728475908539465)))",[],2025-07-25T08:55:31.9,
com_donnees_communales.comparcjardin_1_0_0.366,PAR-69286-024,,Bois de Osterode,24,741,Route du Mas Rillier,69140,Rillieux-la-Pape,69286,oui,96224,Commune,2021,oui,[],,Motorisé / Piéton / Cycle,Aucune,ENS,Sans,non,non,non,non,,366,"MULTIPOLYGON (((4.913951618760681 45.82718767102751, 4.915330864541295 45.827655599559016, 4.915534582492908 45.827717604567184, 4.91576561073506 45.82773636831669, 4.915988751354893 45.82773513176183, 4.916149952877475 45.82771228764357, 4.916385665824635 45.82765799096644, 4.9165633831906375 45.827592086795505, 4.916679767212981 45.82752218126062, 4.9168440929584625 45.8273810050289, 4.916993074764124 45.82721240456049, 4.9175858790494535 45.82623858180989, 4.917928609648731 45.82563386870125, 4.917974234819089 45.825138699704695, 4.917421675527049 45.824309050154085, 4.917421675527049 45.824309050154085, 4.917421675527049 45.824309050154085, 4.916174388333156 45.82372170262771, 4.915850367656824 45.82364997862022, 4.915850367656824 45.82364997862022, 4.915850367656824 45.82364997862022, 4.915850367656824 45.82364997862022, 4.915850367656824 45.82364997862022, 4.915493579663892 45.82393316728382, 4.91496988665186 45.82428640694287, 4.91496988665186 45.82428640694287, 4.91496988665186 45.82428640694287, 4.915321765199431 45.82487998247193, 4.914723100343297 45.82505614097417, 4.914653002621877 45.825215862831236, 4.91469816189613 45.82527298468408, 4.914555819208319 45.825320675510696, 4.9139539267758545 45.82613609111911, 4.9139539267758545 45.82613609111911, 4.913910970753844 45.826368290154896, 4.913941926932556 45.82659862269026, 4.91400408098433 45.82681500932314, 4.913951618760681 45.82718767102751)))",[],2024-07-08T15:45:44.984,
com_donnees_communales.comparcjardin_1_0_0.106,PAR-69386-06050,S8222,Jardin des Charmettes,6050,119,Rue des Charmettes,69006,Lyon 6e Arrondissement,69386,oui,592.04,Espaces Verts,,oui,"[{""opens"": ""8:00"", ""closes"": ""22:00"", ""dayOfWeek"": [""http://schema.org/Monday"", ""http://schema.org/Tuesday"", ""http://schema.org/Wednesday"", ""http://schema.org/Thursday"", ""http://schema.org/Friday"", ""http://schema.org/Saturday"", ""http://schema.org/Sunday""]}]",,Piéton,,non,Aire de jeux,non,non,Non,Non,0,106,"MULTIPOLYGON (((4.86717565351204 45.764972288219916, 4.867400887664913 45.76497426199031, 4.867568638508591 45.76497600881603, 4.867567295735883 45.76505118321091, 4.8675674332951235 45.765066571435185, 4.867568986795019 45.7651553787189, 4.867236060082137 45.76515166254054, 4.867182660770603 45.76511239760516, 4.867180671932255 45.765072108984334, 4.86717565351204 45.764972288219916)))",[],2025-07-25T08:55:31.901,
com_donnees_communales.comparcjardin_1_0_0.334,PAR-69385-55075,S8268,Place François Bertras,55075,,Place François Bertras,69005,Lyon 5e Arrondissement,69385,oui,943.92,Espaces Verts,,non,,,Piéton,,non,Aire de jeux-Fontaine,oui,non,Oui,Non,0,334,"MULTIPOLYGON (((4.825108762117295 45.75780983796582, 4.825160191904918 45.75790801483821, 4.825172748052152 45.75792617376076, 4.825182228324574 45.75793313180714, 4.825190849711022 45.757937223575325, 4.82520018287578 45.75793941388623, 4.825208665828913 45.757939277790555, 4.825217148782005 45.75793914169425, 4.8252289308517495 45.757937782644426, 4.825874963905122 45.75780231358949, 4.825885640260967 45.7577944020859, 4.825892140607274 45.75778484757019, 4.825897044364865 45.757777658725274, 4.825896752657424 45.75776875322933, 4.82589390881197 45.75776051870664, 4.825887745250496 45.75775287747444, 4.82565700805906 45.757511235574675, 4.825559129261324 45.75753377666261, 4.825565426061893 45.75754933593103, 4.8255961305595765 45.75754479313998, 4.825614584987478 45.757578157669904, 4.825655131555965 45.757587497204945, 4.825680113774713 45.75760032656347, 4.825688070529239 45.757607759025966, 4.825696396309652 45.757630305866826, 4.8256954074975695 45.757639411916045, 4.825683324012555 45.75765904621599, 4.8256749272885955 45.75766566109288, 4.825652457139642 45.75767457185372, 4.825667621232139 45.75770969921124, 4.825643149264095 45.75773196235896, 4.825615829065059 45.757753551192664, 4.825598564784845 45.75775652828662, 4.82559288147012 45.757763549623974, 4.825480105194239 45.757786599698406, 4.8254703412000515 45.757782796291536, 4.825459145926289 45.75775507537525, 4.825170293811227 45.75781191087956, 4.825156246840665 45.757815016293414, 4.825137107938767 45.75780362310725, 4.825108762117295 45.75780983796582)))",[],2025-07-25T08:55:31.903,
