FID,uid,id_ariane,nom,num,numvoie,voie,codepost,commune,code_insee,reglement,surf_tot_m2,gestion,ann_ouvert,clos,openinghoursspecification,precision_horaires,acces,circulation,label,type_equip,eau,toilettes,chien,esp_can,photo,gid,the_geom,openinghours,last_update_fme,horaires
com_donnees_communales.comparcjardin_1_0_0.401,PAR-69266-096,,Parc Jacob Hugentobler (et Esplanade),96,20,Rue Valentin Haüy,69100,Villeurbanne,69266,Oui,6215.48539433,Commune,2017,Oui,,,Piéton,Piéton,Non,Fontaine-Aire de jeux,Oui,Non,Non,Non,0,401,"MULTIPOLYGON (((4.883571325499209 45.758613054467226, 4.883446597571879 45.75917232987896, 4.883377146612831 45.75948390099174, 4.883965209144156 45.759416922290505, 4.884193836798764 45.75839006832735, 4.884257462332366 45.75839702483954, 4.8843277952054915 45.75808129829036, 4.8838821220952475 45.75797815514445, 4.883799843276259 45.758347003839035, 4.883863449343979 45.75835395819212, 4.883800145597881 45.75863806684612, 4.883571325499209 45.758613054467226)))","[""Oct-Mar 08:00-19:00"", ""Apr-Sep 08:00-22:00""]",2022-06-07T17:46:57.733,Oct-Mar 08:00-19:00; Apr-Sep 08:00-22:00
com_donnees_communales.comparcjardin_1_0_0.400,PAR-69266-088,,Square Félix Lebossé,88,85,Rue Anatole France,69100,Villeurbanne,69266,Oui,4299.03682266,Commune,1978,Oui,,,Piéton,Piéton,Non,Aire de jeux,Non,Non,Non,Non,0,400,"MULTIPOLYGON (((4.877137096411948 45.7685472874983, 4.877286830706879 45.76855291751843, 4.877507664183517 45.7685574516177, 4.877595336264151 45.768559057882456, 4.877712198112061 45.76856018239465, 4.8778943794418375 45.76856440314248, 4.8779158171114405 45.767979299432575, 4.877847624889762 45.76792489296089, 4.87767381042346 45.7678922101408, 4.877555783960473 45.7678702169195, 4.877226785562682 45.767808142894765, 4.87721422525061 45.76792013390084, 4.877154281025667 45.76840839931871, 4.877150328700112 45.76843996558553, 4.877137096411948 45.7685472874983)))","[""Oct-Mar 08:00-19:00"", ""Apr-Sep 08:00-22:00""]",2022-06-07T17:46:57.732,Oct-Mar 08:00-19:00; Apr-Sep 08:00-22:00
com_donnees_communales.comparcjardin_1_0_0.394,PAR-69266-039,,Square Henri Bertrand,39,119,Rue Anatole France,69100,Villeurbanne,69266,Oui,1521.04208196,Commune,,Oui,,,Piéton,Piéton,Non,,Non,Non,Non,Non,0,394,"MULTIPOLYGON (((4.881793590304149 45.76863093995153, 4.881798070184917 45.76866839718346, 4.881801693400075 45.768669057288484, 4.881814712966419 45.76877279562614, 4.881826610270749 45.768881002278384, 4.881839296154433 45.76900189713356, 4.882073209229408 45.768959417049075, 4.882069673889767 45.76894993518836, 4.882127702986293 45.76893934502324, 4.882131241373013 45.76894891683509, 4.882595497734863 45.76886491405745, 4.8826137746230645 45.768785408865796, 4.881793590304149 45.76863093995153)))","[""Oct-Mar 08:00-19:00"", ""Apr-Sep 08:00-22:00""]",2022-06-07T17:46:57.73,Oct-Mar 08:00-19:00; Apr-Sep 08:00-22:00
com_donnees_communales.comparcjardin_1_0_0.402,PAR-69266-098,,Square du Château,98,61,Rue Château Gaillard,69100,Villeurbanne,69266,Oui,5637.92951374,Commune,,Oui,,,Piéton,Piéton,Non,Fontaine-Aire de jeux,Oui,Non,Non,Non,0,402,"MULTIPOLYGON (((4.8869748737846574 45.77685407219979, 4.887065124744445 45.77688547189859, 4.887572694111789 45.777060509798964, 4.88794064899377 45.77718855789976, 4.888477241351871 45.77737356515705, 4.888759541619613 45.7774713040393, 4.888878585291651 45.77751117979702, 4.889000423429278 45.77742491446432, 4.88904940319875 45.77738999021898, 4.889056813977779 45.77738473702052, 4.889156589568875 45.77731143818546, 4.887859289660666 45.77683713804208, 4.887265890789153 45.77661822619626, 4.887208657086849 45.77657264364874, 4.886969713644637 45.776697058030585, 4.886789749786946 45.77679052299367, 4.886927949605681 45.77683782342682, 4.8869748737846574 45.77685407219979)))","[""Oct-Mar 08:00-19:00"", ""Apr-Sep 08:00-22:00""]",2022-06-07T17:46:57.733,Oct-Mar 08:00-19:00; Apr-Sep 08:00-22:00
com_donnees_communales.comparcjardin_1_0_0.145,PAR-69389-09185,S8309,Jardin Fournier,9185,,Rue Jean Fournier,69009,Lyon 9e Arrondissement,69389,oui,2274.72,Espaces Verts,1965,non,,,Piéton,,non,Aire de jeux,non,non,Non,Non,0,145,"MULTIPOLYGON (((4.7946534538348295 45.7793882094839, 4.794652295828943 45.779388317744925, 4.7946511468223045 45.77938842586403, 4.794649991713654 45.779388624080134, 4.794648836604997 45.77938882229623, 4.794419895395906 45.779460922754986, 4.794297523480619 45.779499482397235, 4.794296145355722 45.77950058413342, 4.794295767077234 45.77950086009952, 4.794294509148669 45.779501779939196, 4.794293007930575 45.779502973616744, 4.794291494816469 45.779504077481086, 4.794289990701579 45.77950518120348, 4.794288741462831 45.77950637090842, 4.794286271951836 45.779509649869325, 4.794285673557002 45.7795109193142, 4.794285679350334 45.77951109922439, 4.794285230118571 45.779513086323824, 4.794285179442071 45.77951542714297, 4.794285635621403 45.77951784997211, 4.79428597481025 45.77952027464567, 4.794286442885597 45.77952278728801, 4.794286773075236 45.77952521210344, 4.794287112264175 45.77952763677695, 4.794333656447568 45.77960295363583, 4.794342749625453 45.77961775040321, 4.794464425310739 45.77981338372417, 4.794792059349559 45.78034507215765, 4.794792841990824 45.78034532981802, 4.794793876615388 45.780345583504705, 4.794794782350787 45.78034574922312, 4.794795811180303 45.78034582299961, 4.794796851906759 45.78034598658927, 4.794797880736286 45.78034606036574, 4.794799044556864 45.78034613201342, 4.794800199378042 45.78034620380301, 4.794801225310034 45.78034618762435, 4.794802260241432 45.780346171303776, 4.794803286173422 45.78034615512507, 4.794804183216221 45.78034605097819, 4.794805206250659 45.78034594484439, 4.794806238284499 45.78034583856871, 4.794807258421381 45.7803456424798, 4.794808278558258 45.78034544639091, 4.794809298695125 45.780345250302, 4.7948103220362785 45.780344874160974, 4.794811339275571 45.78034458811698, 4.794812230523211 45.780344304059824, 4.794876887216193 45.78032303424075, 4.794988039519407 45.78028357094112, 4.794995246213292 45.78027976724912, 4.795002418131844 45.78027488409559, 4.795007165703631 45.78027048918127, 4.795011127735631 45.780265746652816, 4.795015249323371 45.78025785158013, 4.7950173622121675 45.780251608201986, 4.795018308689575 45.78024493321609, 4.7949677353045335 45.78025617092226, 4.794729000033121 45.77975314140065, 4.794647473823342 45.77958189547358, 4.794648951857926 45.77957998215054, 4.79464994590603 45.77957897646714, 4.794650570676125 45.7795782466091, 4.794652315484134 45.77957650908094, 4.794654189179207 45.77957485952117, 4.794655936884265 45.77957321194805, 4.794657948465569 45.77957165021471, 4.794660079934656 45.77957017659168, 4.794662220402907 45.77956870282664, 4.794664486860938 45.77956722707491, 4.7946668941025825 45.779565929104706, 4.794669292344835 45.77956463127636, 4.794671567494388 45.77956342538976, 4.794674106520171 45.77956230534291, 4.794676774433031 45.77956127326435, 4.7946793134586105 45.779560153217396, 4.794682113155762 45.7795592990622, 4.794719126209158 45.7795463852932, 4.794750674537946 45.779535447704596, 4.794689455000181 45.779399791893404, 4.794688783875635 45.779399082470064, 4.794687998658157 45.779398464846615, 4.794687327533644 45.77939775542327, 4.794686668305705 45.779397135813106, 4.794685874089026 45.779396518331566, 4.79468508276967 45.77939599080512, 4.7946842975522745 45.77939537318167, 4.794683380243447 45.77939484764194, 4.794682586026838 45.779394230160364, 4.794681668718044 45.77939370462064, 4.794680754306565 45.779393269036, 4.7946798369978065 45.77939274349624, 4.794678922586356 45.77939230791156, 4.794677882185429 45.77939187431361, 4.794676967774009 45.77939143872896, 4.794675918373864 45.77939100527287, 4.794674883767554 45.77939075158508, 4.79467384626397 45.779390407942216, 4.794672808760402 45.77939006429932, 4.794671762257596 45.7793897207983, 4.794670601661841 45.779389469097204, 4.794669558056338 45.77938921555128, 4.794668397460603 45.779388963850145, 4.794667227865631 45.77938871229092, 4.79466607016719 45.77938855054485, 4.794664903469511 45.7793883889407, 4.794663745771084 45.77938822719464, 4.794662581970682 45.77938815554555, 4.794661553159021 45.77938808176785, 4.794660389358626 45.77938801011876, 4.794659237454743 45.77938802828283, 4.794658076551611 45.779388046588814, 4.794656915648482 45.77938806489478, 4.794655763744598 45.779388083058834, 4.794654602841463 45.779388101364795, 4.7946534538348295 45.7793882094839)))",[],2025-07-25T08:55:31.845,
com_donnees_communales.comparcjardin_1_0_0.242,PAR-69383-03127,S8331,Jardin d'Aubigny,3127,,Rue d'Aubigny,69003,Lyon 3e Arrondissement,69383,oui,718.46,Espaces Verts,,oui,,,Piéton,,non,Aire de jeux,oui,non,Non,Non,0,242,"MULTIPOLYGON (((4.863071448488966 45.76148040833763, 4.86319842994601 45.761482379023725, 4.863195315546056 45.76156235245694, 4.863757391077746 45.76154756611289, 4.863759614353163 45.761440966434094, 4.863753777435307 45.7614272113074, 4.86375052058836 45.76142238603, 4.863748645957463 45.76141960861503, 4.863730403420793 45.761423775032114, 4.863727568775904 45.7614178569597, 4.8637291358394545 45.761417624110265, 4.863726271659126 45.761412891754645, 4.863726211503684 45.761411092685016, 4.8631039739 45.76142641409323, 4.863104040048919 45.761428393070176, 4.8630965451825405 45.761450296465135, 4.863095025238357 45.7614549114946, 4.863076276894029 45.76145170840121, 4.863069720383333 45.76147098634889, 4.863071448488966 45.76148040833763)))",[],2025-07-25T08:55:31.845,
com_donnees_communales.comparcjardin_1_0_0.20,PAR-69256-002,S8092,Jardin de la Paix et des Libertés,2,,Rue Condorcet,69120,Vaulx-en-Velin,69256,Oui,10693,Ville,2005,Oui,"[{""opens"": ""00:00"", ""closes"": ""23:59"", ""dayOfWeek"": [""http://schema.org/Monday"", ""http://schema.org/Tuesday"", ""http://schema.org/Wednesday"", ""http://schema.org/Thursday"", ""http://schema.org/Friday"", ""http://schema.org/Saturday"", ""http://schema.org/Sunday""]}]",,Motorisé,Piéton,Non,"Aire de jeux, Pique-nique",Non,Oui,Non autorisés,Non,nr,20,"MULTIPOLYGON (((4.917370665399331 45.77779532319397, 4.918128199819017 45.77754381669388, 4.917715996625121 45.77695721194359, 4.91673401969159 45.77610009499448, 4.916348968420605 45.77634304003503, 4.917370665399331 45.77779532319397)))","[""Sep-May 06:30-19:30;Jun-Aug 06:30-23:00""]",2025-04-16T16:11:14.839,Sep-May 06:30-19:30;Jun-Aug 06:30-23:00
com_donnees_communales.comparcjardin_1_0_0.405,PAR-69266-181,,Jardin des Poulettes,181,45,Rue Edouard Vaillant,69100,Villeurbanne,69266,Oui,553.1001499,Commune,2004,Oui,,,Piéton,Piéton,Non,Fontaine-Aire de jeux,Oui,Non,Non,Non,0,405,"MULTIPOLYGON (((4.880264958951454 45.77565116009068, 4.8804290395776855 45.77568049007187, 4.880502068256977 45.775424304661726, 4.8805248373260985 45.77534436570254, 4.880343014056003 45.77530758877536, 4.88032131929895 45.775343138434714, 4.880264958951454 45.77565116009068)))","[""Oct-Mar 08:00-19:00"", ""Apr-Sep 08:00-22:00""]",2022-06-07T17:46:57.735,Oct-Mar 08:00-19:00; Apr-Sep 08:00-22:00
com_donnees_communales.comparcjardin_1_0_0.231,PAR-69383-53315,S8371,Place Djibraël Bahadourian,53315,,Place Djibraël Bahadourian,69003,Lyon 3e Arrondissement,69383,oui,6282.21,Espaces Verts,,oui,,,Piéton/Vélo,,non,Aire de jeux-Fontaine-Espace Ludique,oui,oui,Oui,Non,0,231,"MULTIPOLYGON (((4.8451893942257245 45.75751876895814, 4.845294215185302 45.757445966969584, 4.845994428634056 45.75697550533803, 4.84599517364818 45.756955332727976, 4.845842541660223 45.75684620643311, 4.8457790231315165 45.756799625789334, 4.845717345500197 45.756754275277125, 4.845647243593962 45.756702941247084, 4.845570561221342 45.75664694380719, 4.845460811333752 45.75656700211196, 4.8453950353408395 45.756560958924794, 4.845290063698924 45.756605772767365, 4.8451115598932475 45.756678329821355, 4.844950946220877 45.75674375628218, 4.844790461149725 45.756809000419736, 4.844662017059102 45.75686364453304, 4.844528352946371 45.75691585306859, 4.84454584140454 45.756935190014524, 4.844944050047077 45.75730062233668, 4.845185618492332 45.75752135026214, 4.8451893942257245 45.75751876895814)))",[],2025-07-25T08:55:31.846,
com_donnees_communales.comparcjardin_1_0_0.289,PAR-69387-07280,S8322,Square Ugo Iannucci,7280,57,avenue Leclerc,69007,Lyon 7e Arrondissement,69387,oui,1213.08,Espaces Verts,,oui,,,Piéton,,non,,non,non,Non,Non,0,289,"MULTIPOLYGON (((4.824170800389541 45.73464049388658, 4.824032017073955 45.734517878327786, 4.8238754861807855 45.73450759968186, 4.823849991294652 45.734777582411276, 4.823831708124492 45.734957429518936, 4.8240850583929555 45.73486055661815, 4.8240877327529095 45.734865325931665, 4.824084253194586 45.73486652703663, 4.824116653953747 45.73490819129094, 4.824365645272902 45.734813592034534, 4.824170800389541 45.73464049388658)))",[],2025-07-25T08:55:31.846,
